relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
29,QA Engineer | Poland,linkedin,Quality Assurance Automation Engineer,Intellias,Poland,On-site,Full-time,"Javascript, Pytest, Python, Test Automation","Azure, Gitlab, Pandas",English,,,Recent,https://pl.linkedin.com/jobs/view/quality-assurance-automation-engineer-at-intellias-4413456323,2026-05-18T13:52:05.972203+00:00
14,Testingenieur | Poland,linkedin,QA Engineer (fixed-term) (Digital Commerce),The HEINEKEN Company,"Cracow, Małopolskie, Poland",On-site,Full-time,"Can, Javascript, Selenium, Test Automation","Architect, Regression Testing, Azure, Devops, Manual Testing, Jira, Agile, Lead, Product Owner, Postman",English,"Architect, Lead",,Recent,https://pl.linkedin.com/jobs/view/qa-engineer-fixed-term-digital-commerce-at-the-heineken-company-4413596222,2026-05-18T13:52:49.644733+00:00
14,Testingenieur | USA,linkedin,Test Engineer,Booz Allen Hamilton,"Kirtland, NM",Remote,Contract,,Lead,English,Lead,,Recent,https://www.linkedin.com/jobs/view/test-engineer-at-booz-allen-hamilton-4413299183,2026-05-18T13:52:52.246810+00:00
14,Testingenieur | United Kingdom,linkedin,Test Engineer,CSafe,"Long Crendon, England, United Kingdom",On-site,Full-time,,"Lead, Assembly",English,Lead,,Recent,https://uk.linkedin.com/jobs/view/test-engineer-at-csafe-4410726362,2026-05-18T13:52:54.642405+00:00
14,Testingenieur | United Kingdom,linkedin,Electronics Test Engineer,Alexander Battery Technologies,"Peterlee, England, United Kingdom",On-site,Internship,"C, C++, Firmware, Python","Senior, C#, Sql",English,Senior,,Recent,https://uk.linkedin.com/jobs/view/electronics-test-engineer-at-alexander-battery-technologies-4405207939,2026-05-18T13:52:54.643054+00:00
14,Testingenieur | United Kingdom,linkedin,Junior Engineer,Candour,"Buxton, England, United Kingdom",On-site,Contract,"C, Can","Senior, Mid-Level, Devops, Junior, C#, Sql",English,Senior,,Recent,https://uk.linkedin.com/jobs/view/junior-engineer-at-candour-4412112611,2026-05-18T13:52:54.643391+00:00
14,Test Automation | Germany,linkedin,QA Field Testing Lead,1GLOBAL,"Berlin, Berlin, Germany",Remote,Internship,Can,"Senior, Lead, R",English,"Lead, Senior",,Recent,https://de.linkedin.com/jobs/view/qa-field-testing-lead-at-1global-4404790875,2026-05-18T13:52:57.068542+00:00
14,Test Automation | Germany,linkedin,Test Automation Specialist,microTECH Global LTD,"Bavaria, Germany",Remote,Contract,"C, C++, Can, Microcontroller, Python, Test Automation","Senior, Jira, Expert, Git, Contractor, Freelancer",English,"Contractor, Expert, Freelancer, Senior",,Recent,https://de.linkedin.com/jobs/view/test-automation-specialist-at-microtech-global-ltd-4411609460,2026-05-18T13:52:57.069196+00:00
14,Test Automation | Germany,linkedin,Senior Quality Engineer,GLS/NXT,"Berlin, Berlin, Germany",Remote,Contract,"Can, Ci/Cd, Github Actions, Go, Java, Playwright, Python, Selenium, Test Automation, Typescript","Senior, Cypress, Kotlin, Github, Agile, Datadog, Git",English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-quality-engineer-at-gls-nxt-4408875755,2026-05-18T13:52:57.069533+00:00
14,Test Automation | Germany,linkedin,Senior QA Engineer - Manual Testing (f/m/d),Noxtua,"Berlin, Berlin, Germany",Remote,Contract,"C, Can, Ci/Cd, Github Actions, Integration Testing, Javascript, Jenkins, Python, Test Automation, Typescript","Senior, Postman, Jira, Manual Testing, Expert, Github, Gitlab",English,"Expert, Senior",,Recent,https://de.linkedin.com/jobs/view/senior-qa-engineer-manual-testing-f-m-d-at-noxtua-4412019193,2026-05-18T13:52:57.069685+00:00
14,Test Automation | Austria,linkedin,Test Automation Engineer (d/w/m),EBCONT,"Vienna, Vienna, Austria",Remote,Full-time,"C, Java, Python, Selenium, Test Automation","Senior, Associate, Scrum, Devops, R, Junior, Consultant, C#, Kanban",German,"Consultant, Senior",,Recent,https://at.linkedin.com/jobs/view/test-automation-engineer-d-w-m-at-ebcont-4410477698,2026-05-18T13:52:59.468172+00:00
14,Test Automation | Austria,linkedin,QA-Lead (m/w/d),Minotera,"Linz, Upper Austria, Austria",Remote,Full-time,"Playwright, Test Automation","Zephyr, Postman, R, Jira, Lead, Cypress",German,Lead,,Recent,https://at.linkedin.com/jobs/view/qa-lead-m-w-d-at-minotera-4411576738,2026-05-18T13:52:59.468507+00:00
14,Test Automation | Switzerland,linkedin,Senior Quality Engineer,Xsensio,"Lausanne, Vaud, Switzerland",On-site,Contract,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-quality-engineer-at-xsensio-4411412873,2026-05-18T13:53:01.838774+00:00
14,Test Automation | Switzerland,linkedin,Test Manager,Sixsentix,"Zurich, Switzerland",On-site,Contract,Can,"Agile, Consultant, Expert",English,"Consultant, Expert, Test Manager",,Recent,https://ch.linkedin.com/jobs/view/test-manager-at-sixsentix-4392279589,2026-05-18T13:53:01.838955+00:00
14,Test Automation | Switzerland,linkedin,Senior QA Automation Engineer,Jobgether,Switzerland,Remote,Contract,"Integration Testing, Java","Senior, Confluence, Manual Testing, Jira, Postman, Sql",English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-qa-automation-engineer-at-jobgether-4413502691,2026-05-18T13:53:01.839447+00:00
14,Test Automation | Switzerland,linkedin,Software Test Automation Engineer,Infometis,"Zurich, Zurich, Switzerland",Remote,Internship,Test Automation,"Consultant, Expert, R",German,"Consultant, Expert",,Recent,https://ch.linkedin.com/jobs/view/software-test-automation-engineer-at-infometis-4405524270,2026-05-18T13:53:01.839913+00:00
14,Test Automation | Switzerland,linkedin,Test Manager,Qim info,"Bern, Berne, Switzerland",On-site,Full-time,Test Automation,"Agile, Associate, R",German,Test Manager,,Recent,https://ch.linkedin.com/jobs/view/test-manager-at-qim-info-4408183628,2026-05-18T13:53:01.840066+00:00
14,Test Automation | Remote,linkedin,Senior Mobile Test Automation Engineer,Bragi,Germany,Remote,Contract,"Can, Ci/Cd, Firmware, Pytest, Python, Test Automation","Senior, Appium, Gitlab Ci, Gitlab, Aws",English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-mobile-test-automation-engineer-at-bragi-4410620231,2026-05-18T13:53:04.210402+00:00
14,Test Automation | Remote,linkedin,End-to-End Platform QA Specialist,Eduneon,"Berlin, Germany",Remote,Contract,"C, Can, Ci/Cd, Cursor, Github Actions, Playwright, Selenium","Postman, Jira, Github, Gitlab Ci, Postgresql, Cypress, Gitlab, Staff, Sql",English,Staff,,Recent,https://de.linkedin.com/jobs/view/end-to-end-platform-qa-specialist-at-eduneon-4412284842,2026-05-18T13:53:04.210559+00:00
14,Test Automation | Remote,linkedin,Senior Quality Assurance Automation Engineer,teamative,Germany,Remote,Full-time,"C, Ci/Cd, Test Automation","Senior, Azure, Regression Testing, Devops, R, C#, Product Owner",German,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-quality-assurance-automation-engineer-at-teamative-4404066700,2026-05-18T13:53:04.211158+00:00
14,Test Automation | Remote,linkedin,Testmanager:in,CPU Softwarehouse AG,Germany,Remote,Contract,"Playwright, Selenium, Test Automation","Confluence, Scrum, Safe, R, Jira, Product Owner, Cypress",German,Test Manager,,Recent,https://de.linkedin.com/jobs/view/testmanager-in-at-cpu-softwarehouse-ag-4410986561,2026-05-18T13:53:04.211489+00:00
14,Test Automation | Slovakia,linkedin,Software Developer in Test (SDET),Fiserv,"Bratislava, Slovakia",Remote,Internship,"Ci/Cd, Java, Javascript, Playwright, Python, Selenium, Shell, Test Automation, Typescript","Docker, Unix, Grafana, R, Lead, Gitlab, Linux, Kubernetes, Senior, Performance Testing",English,"Lead, Senior",,Recent,https://sk.linkedin.com/jobs/view/software-developer-in-test-sdet-at-fiserv-4408642088,2026-05-18T13:53:06.638721+00:00
14,Test Automation | Slovakia,linkedin,Automation Test Lead,Ampstek,"Bratislava, Slovakia",On-site,Full-time,"Ci/Cd, Java, Python, Selenium, Test Automation","Scrum, Jira, Agile, Lead, Gitlab, Cucumber",English,Lead,,Recent,https://sk.linkedin.com/jobs/view/automation-test-lead-at-ampstek-4407368844,2026-05-18T13:53:06.638877+00:00
14,Test Automation | Slovakia,linkedin,Ai Visual Quality Analyst - Remote,YO IT Consulting,Slovakia,Remote,Contract,,Contractor,English,Contractor,,Recent,https://sk.linkedin.com/jobs/view/ai-visual-quality-analyst-remote-at-yo-it-consulting-4415482412,2026-05-18T13:53:06.639033+00:00
14,Test Automation | Slovakia,linkedin,ČSOB Test Manager (M/Ž),ČSOB Finančná skupina,"Bratislava, Slovakia",On-site,Internship,,"R, Intern",English,Test Manager,,Recent,https://sk.linkedin.com/jobs/view/%C4%8Dsob-test-manager-m-%C5%BE-at-%C4%8Dsob-finan%C4%8Dn%C3%A1-skupina-4327891724,2026-05-18T13:53:06.639371+00:00
14,Test Automation | Czech Republic,linkedin,Senior Quality Manager,Champro,"La Vega, La Vega, Dominican Republic",On-site,Internship,,"Senior, Staff, Lead",English,"Lead, Senior, Staff",,Recent,https://do.linkedin.com/jobs/view/senior-quality-manager-at-champro-4407851794,2026-05-18T13:53:09.062805+00:00
14,Test Automation | Poland,linkedin,Head of Quality Assurance Department,COLIBRIX ONE,"Warsaw, Mazowieckie, Poland",On-site,Full-time,"Ci/Cd, Go, Playwright, Python, Test Automation","Zephyr, Principal, Jira, Head Of, Lead, Gitlab, Aws",English,"Lead, Principal",,Recent,https://pl.linkedin.com/jobs/view/head-of-quality-assurance-department-at-colibrix-one-4412742481,2026-05-18T13:53:11.489584+00:00
14,Test Automation | Poland,linkedin,Test Lead,Experis,"Warsaw, Mazowieckie, Poland",Hybrid,Contract,Test Automation,"Regression Testing, Scrum, Jira, Agile, Lead, Bdd",English,"Lead, QA Lead, Test Manager",,Recent,https://pl.linkedin.com/jobs/view/test-lead-at-experis-4407872860,2026-05-18T13:53:11.490060+00:00
14,Test Automation | Poland,linkedin,Senior Automation QA Engineer (Manual expertise),N-iX,Poland,Remote,Contract,"Ci/Cd, Github Actions, Java, Jenkins, Playwright, Pytest, Python, Selenium, Test Automation","Redis, Appium, Mysql, Docker, Nosql, Github, Gitlab Ci, Regression Testing, Devops, Jira",English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-automation-qa-engineer-manual-expertise-at-n-ix-4410488889,2026-05-18T13:53:11.490218+00:00
14,Test Automation | Poland,linkedin,Test Automation Specialist,Hays,"Warsaw, Mazowieckie, Poland",On-site,Internship,"Chatgpt, Ci/Cd, Claude, Github Copilot, Java, Jenkins, Llm, Playwright, Selenium, Test Automation","Azure, Devops, Jira, Github, Agile, Lead, Gitlab, Git, Sql",English,Lead,,Recent,https://pl.linkedin.com/jobs/view/test-automation-specialist-at-hays-4410377329,2026-05-18T13:53:11.490401+00:00
14,Test Automation | USA,linkedin,"Senior Engineer, Test and Automation (Remote, US)",Renew Home,United States,Remote,Internship,"Ci/Cd, Github Actions, Llm, Playwright, Pytest, Python, Selenium, Test Automation, Typescript","Senior, Gcp, Github, Postgresql, Aws, React, Fastapi, Sql",English,Senior,,Recent,https://www.linkedin.com/jobs/view/senior-engineer-test-and-automation-remote-us-at-renew-home-4411807318,2026-05-18T13:53:14.043361+00:00
14,Test Automation | USA,linkedin,QA Test Analyst,Accylerate,"Richmond, VA",On-site,Contract,Go,"Agile, Waterfall, Lead",English,Lead,,Recent,https://www.linkedin.com/jobs/view/qa-test-analyst-at-accylerate-4411444258,2026-05-18T13:53:14.043822+00:00
14,Test Automation | USA,linkedin,Senior QA Automation Engineer,Faro,"New York, NY",Hybrid,Contract,"Ai Agents, Ci/Cd, Claude, Continuous Testing, Cursor, Github Actions, Javascript, Jenkins, Playwright, Python, Test Automation, Typescript","Github, Gitlab Ci, Devops, Jira, Agile, Gitlab, React, Azure, Scrum, Gcp",English,Senior,,Recent,https://www.linkedin.com/jobs/view/senior-qa-automation-engineer-at-faro-4415528409,2026-05-18T13:53:14.044116+00:00
14,Test Automation | United Kingdom,linkedin,Senior Test Manager - Public Sector,KPMG UK,"London Area, United Kingdom",On-site,Contract,"Can, Test Automation","Senior, Director, Junior, Expert",English,"Expert, Senior, Test Manager",,Recent,https://uk.linkedin.com/jobs/view/senior-test-manager-public-sector-at-kpmg-uk-4403745457,2026-05-18T13:53:16.597862+00:00
14,Test Automation | United Kingdom,linkedin,Test Manager,Indra Group UK & Ireland,"London, England, United Kingdom",Remote,Contract,,"Agile, Lead, Scrum",English,"Lead, Test Manager",,Recent,https://uk.linkedin.com/jobs/view/test-manager-at-indra-group-uk-ireland-4415377450,2026-05-18T13:53:16.598211+00:00
14,Test Automation | United Kingdom,linkedin,Test Automation Manager,Accenture,"London Area, United Kingdom",Remote,Internship,"C, Can, Claude, Github Copilot, Java, Javascript, Langchain, Playwright, Python, Test Automation, Typescript","Azure, Github, Lead, C#, Aws",English,Lead,,Recent,https://uk.linkedin.com/jobs/view/test-automation-manager-at-accenture-4410348699,2026-05-18T13:53:16.598396+00:00
14,Test Automation | United Kingdom,linkedin,Junior Quality Assurance Analyst,Crowe UK,"West Midlands, England, United Kingdom",On-site,Internship,Can,"Junior, Head Of, Agile, Expert",English,Expert,,Recent,https://uk.linkedin.com/jobs/view/junior-quality-assurance-analyst-at-crowe-uk-4392768413,2026-05-18T13:53:16.598867+00:00
14,Test Automation | United Kingdom,linkedin,Senior Test Manager- Financial Services,KPMG UK,"London Area, United Kingdom",On-site,Contract,"Can, Test Automation","Senior, Director, Junior, Expert",English,"Expert, Senior, Test Manager",,Recent,https://uk.linkedin.com/jobs/view/senior-test-manager-financial-services-at-kpmg-uk-4407206674,2026-05-18T13:53:16.599021+00:00
14,Test Automation | United Kingdom,linkedin,Quality Assurance Analyst,Alpha Bank London,"City Of London, England, United Kingdom",On-site,Internship,Go,"Senior, Lead",English,"Lead, Senior",,Recent,https://uk.linkedin.com/jobs/view/quality-assurance-analyst-at-alpha-bank-london-4411712755,2026-05-18T13:53:16.599168+00:00
14,Python Developer | Germany,linkedin,Senior Python Engineer,Trust In SODA,"Berlin, Germany",Remote,Contract,Python,"Senior, Docker, Machine Learning, Fastapi",English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-python-engineer-at-trust-in-soda-4413544028,2026-05-18T13:53:19.049174+00:00
14,Python Developer | Germany,linkedin,Python Developer Remote,Mercor,"Berlin, Berlin, Germany",Remote,Contract,Python,"Contractor, Fastapi",English,Contractor,,Recent,https://de.linkedin.com/jobs/view/python-developer-remote-at-mercor-4405247451,2026-05-18T13:53:19.049521+00:00
14,Python Developer | Germany,linkedin,Python Developer - Remote,YO IT Consulting,"Munich, Bavaria, Germany",Remote,Contract,"Cursor, Python","Github, Graphql, Expert",English,Expert,,Recent,https://de.linkedin.com/jobs/view/python-developer-remote-at-yo-it-consulting-4412593423,2026-05-18T13:53:19.049678+00:00
14,Python Developer | Germany,linkedin,Python Developer - Remote,YO IT Consulting,"Berlin, Berlin, Germany",Remote,Contract,"Cursor, Python","Github, Graphql, Expert",English,Expert,,Recent,https://de.linkedin.com/jobs/view/python-developer-remote-at-yo-it-consulting-4412593420,2026-05-18T13:53:19.049826+00:00
14,Python Developer | Germany,linkedin,Python Developer Remote,Mercor,Germany,Remote,Contract,Python,"Contractor, Fastapi",English,Contractor,,Recent,https://de.linkedin.com/jobs/view/python-developer-remote-at-mercor-4411326686,2026-05-18T13:53:19.050123+00:00
14,Python Developer | Germany,linkedin,Python Software Engineer,Mercor,"Berlin, Berlin, Germany",Remote,Contract,Python,"Contractor, Fastapi",English,Contractor,,Recent,https://de.linkedin.com/jobs/view/python-software-engineer-at-mercor-4403969380,2026-05-18T13:53:19.050266+00:00
14,Python Developer | Germany,linkedin,Senior Python Developer (all genders),Sunday Natural,"Berlin, Berlin, Germany",Remote,Full-time,"Ci/Cd, Python","Senior, Architect, Tdd, Lead, Git, Postgresql, Django, Fastapi, Flask",English,"Architect, Lead, Senior",,Recent,https://de.linkedin.com/jobs/view/senior-python-developer-all-genders-at-sunday-natural-4387397879,2026-05-18T13:53:19.050438+00:00
14,Python Developer | Austria,linkedin,Python Game Developer (Panda3D) - Remote,YO IT Consulting,Austria,Remote,Contract,"C, C++, Python","Github, Agile, Expert",English,Expert,,Recent,https://at.linkedin.com/jobs/view/python-game-developer-panda3d-remote-at-yo-it-consulting-4403349593,2026-05-18T13:53:21.454978+00:00
14,Python Developer | Austria,linkedin,Senior Software Engineer (Python),Jobgether,Austria,Remote,Contract,"Nlp, Python","Senior, Spark, Hugging Face, Pytorch, Gcp, Nosql, Data Science, Aws, Machine Learning, Kubernetes",English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-software-engineer-python-at-jobgether-4415607622,2026-05-18T13:53:21.455169+00:00
14,Python Developer | Austria,linkedin,Senior Python Systems Developer - Functional Testing Project,Mindrift,Austria,Remote,Contract,"Bash, C, C++, Can, Claude, Cursor, Go, Llm, Pytest, Python, Rust","Senior, Docker, Github, Expert, Linux, Git",English,"Expert, Senior",,Recent,https://at.linkedin.com/jobs/view/senior-python-systems-developer-functional-testing-project-at-mindrift-4414229086,2026-05-18T13:53:21.455519+00:00
14,Python Developer | Austria,linkedin,Freelance Data Science Engineer (Python & SQL),Mindrift,Austria,On-site,Contract,"Can, Langchain, Prompt Engineering, Python, Rag","Pandas, Pytorch, Scikit-Learn, Mlops, Numpy, Expert, Data Science, Sql, Machine Learning, Tensorflow",English,Expert,,Recent,https://at.linkedin.com/jobs/view/freelance-data-science-engineer-python-sql-at-mindrift-4414675834,2026-05-18T13:53:21.455837+00:00
14,Python Developer | Austria,linkedin,Senior Python Developer - Code Migration Specialist,Mindrift,Austria,Remote,Contract,"Bash, C, C++, Can, Claude, Cursor, Go, Llm, Pytest, Python, Rust","Senior, Docker, Github, Expert, Linux, Git",English,"Expert, Senior",,Recent,https://at.linkedin.com/jobs/view/senior-python-developer-code-migration-specialist-at-mindrift-4414206230,2026-05-18T13:53:21.455992+00:00
14,Python Developer | Austria,linkedin,Senior Backend Developer (m/f/d) - Python & Java,REWE International AG,"Vienna, Vienna, Austria",Remote,Contract,"Can, Ci/Cd, Java, Python","Senior, Spring Boot, Scrum, Microservices, Docker, Agile, Gitlab, Kanban, Staff, Kubernetes",English,"Senior, Staff",,Recent,https://at.linkedin.com/jobs/view/senior-backend-developer-m-f-d-python-java-at-rewe-international-ag-4413029838,2026-05-18T13:53:21.456461+00:00
14,Python Developer | Switzerland,linkedin,Python Game Developer (Panda3D) - Remote,YO IT Consulting,Switzerland,Remote,Contract,"C, C++, Python","Github, Agile, Expert",English,Expert,,Recent,https://ch.linkedin.com/jobs/view/python-game-developer-panda3d-remote-at-yo-it-consulting-4403361444,2026-05-18T13:53:23.831693+00:00
14,Python Developer | Switzerland,linkedin,Python Developer,Rapinno Tech Solutions GmbH,"Zurich, Switzerland",Remote,Full-time,"Can, Ci/Cd, Java, Python","Senior, Sql",English,Senior,,Recent,https://ch.linkedin.com/jobs/view/python-developer-at-rapinno-tech-solutions-gmbh-4415093253,2026-05-18T13:53:23.831879+00:00
14,Python Developer | Switzerland,linkedin,Senior Software Engineer (Python),Jobgether,Switzerland,Remote,Contract,"Nlp, Python","Senior, Spark, Hugging Face, Pytorch, Gcp, Nosql, Data Science, Aws, Machine Learning, Kubernetes",English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-software-engineer-python-at-jobgether-4415612587,2026-05-18T13:53:23.832043+00:00
14,Python Developer | Switzerland,linkedin,Full Stack Engineer,Cowlabs,Switzerland,Remote,Contract,"Can, Claude, Cursor, Typescript","Senior, Head Of, React",English,Senior,,Recent,https://ch.linkedin.com/jobs/view/full-stack-engineer-at-cowlabs-4405163911,2026-05-18T13:53:23.832203+00:00
14,Python Developer | Switzerland,linkedin,Python Developer - Contractor,Nordwand Group - the IT & Finance Recruitment Company,"Zurich, Switzerland",On-site,Contract,"Can, Python","Contractor, Azure",English,Contractor,,Recent,https://ch.linkedin.com/jobs/view/python-developer-contractor-at-nordwand-group-the-it-finance-recruitment-company-4401619590,2026-05-18T13:53:23.832397+00:00
14,Python Developer | Switzerland,linkedin,Python Software Engineer - Digital Assets,IMC Trading,"Zug, Zug, Switzerland",On-site,Contract,"C, C++, Can, Go, Java, Python","Scala, Architect, Pandas, Docker, Agile, Numpy, Machine Learning, Kubernetes, Tensorflow",English,Architect,,Recent,https://ch.linkedin.com/jobs/view/python-software-engineer-digital-assets-at-imc-trading-4320553182,2026-05-18T13:53:23.832557+00:00
14,Python Developer | Switzerland,linkedin,Senior/Lead Backend Engineer (Remote),Fuse Energy,Switzerland,Remote,Contract,,"Aws, Senior, Lead",English,"Lead, Senior",,Recent,https://ch.linkedin.com/jobs/view/senior-lead-backend-engineer-remote-at-fuse-energy-4404833645,2026-05-18T13:53:23.833012+00:00
14,Python Developer | Remote,linkedin,Python Game Developer (Panda3D) - Remote,YO IT Consulting,"Berlin, Berlin, Germany",Remote,Contract,"C, C++, Python","Github, Agile, Expert",English,Expert,,Recent,https://de.linkedin.com/jobs/view/python-game-developer-panda3d-remote-at-yo-it-consulting-4403373143,2026-05-18T13:53:26.301460+00:00
14,Python Developer | Remote,linkedin,Python Game Developer (Panda3D) - Remote,YO IT Consulting,Germany,Remote,Contract,"C, C++, Python","Github, Agile, Expert",English,Expert,,Recent,https://de.linkedin.com/jobs/view/python-game-developer-panda3d-remote-at-yo-it-consulting-4403353541,2026-05-18T13:53:26.301614+00:00
14,Python Developer | Remote,linkedin,Python Developer (AWS) Europe,Xenon Seven,Germany,Remote,Contract,"Ci/Cd, Python","Splunk, Devops, Jira, Datadog, Lead, Aws",English,Lead,,Recent,https://de.linkedin.com/jobs/view/python-developer-aws-europe-at-xenon-seven-4405800254,2026-05-18T13:53:26.301765+00:00
14,Python Developer | Slovakia,linkedin,Python Developer - Remote,YO IT Consulting,Slovakia,Remote,Contract,"Cursor, Python","Github, Graphql, Expert",English,Expert,,Recent,https://sk.linkedin.com/jobs/view/python-developer-remote-at-yo-it-consulting-4414786292,2026-05-18T13:53:28.801151+00:00
14,Python Developer | Slovakia,linkedin,Python Software Developer,Nokia,"Bratislava, Bratislava, Slovakia",Remote,Contract,"Generative Ai, Python","Senior, R, Junior, Linux, Git",English,Senior,,Recent,https://sk.linkedin.com/jobs/view/python-software-developer-at-nokia-4289894545,2026-05-18T13:53:28.801361+00:00
14,Python Developer | Slovakia,linkedin,"AI Engineer – Python, GenAI & Machine Learning (m/f)",PwC Slovakia,"Bratislava, Bratislava, Slovakia",Hybrid,Contract,"Can, Generative Ai, Nlp, Python","Senior, Architect, Azure, Scikit-Learn, Nosql, Junior, Lead, Expert, Numpy, Data Science",English,"Architect, Expert, Lead, Senior",,Recent,https://sk.linkedin.com/jobs/view/ai-engineer-%E2%80%93-python-genai-machine-learning-m-f-at-pwc-slovakia-4328270572,2026-05-18T13:53:28.801859+00:00
14,Python Developer | Slovakia,linkedin,"AI Engineer – Python, GenAI & Machine Learning (m/f)",PwC Slovakia,"Košice, Kosice, Slovakia",Hybrid,Contract,"Can, Generative Ai, Nlp, Python","Senior, Architect, Azure, Scikit-Learn, Nosql, Junior, Lead, Expert, Numpy, Data Science",English,"Architect, Expert, Lead, Senior",,Recent,https://sk.linkedin.com/jobs/view/ai-engineer-%E2%80%93-python-genai-machine-learning-m-f-at-pwc-slovakia-4328290382,2026-05-18T13:53:28.802170+00:00
14,Python Developer | Slovakia,linkedin,Senior Python Software Engineer,EPAM Systems,Slovakia,Remote,Full-time,Python,"Redis, Senior, Azure, Scrum, Gcp, Microservices, Mysql, Nosql, Jira, Agile",English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-python-software-engineer-at-epam-systems-4288584951,2026-05-18T13:53:28.802526+00:00
14,Python Developer | Slovakia,linkedin,Senior Python Data Scraping Engineer (Freelance),Mindrift,Slovakia,Remote,Contract,"Ai Agents, Can, Generative Ai, Javascript, Langchain, Llm, Python, Selenium","Senior, Docker, Github, Aws",English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-python-data-scraping-engineer-freelance-at-mindrift-4411168400,2026-05-18T13:53:28.802680+00:00
14,Python Developer | Czech Republic,linkedin,AI Engineer (Python) - Remote Work,BairesDev,Dominican Republic,Remote,Contract,"Can, Langchain, Llm, Python, Rag","Architect, Data Science, Aws",English,Architect,,Recent,https://do.linkedin.com/jobs/view/ai-engineer-python-remote-work-at-bairesdev-4413599172,2026-05-18T13:53:31.187617+00:00
14,Python Developer | Czech Republic,linkedin,Backend Python Developer (APIs & Integrations),Segadty,Dominican Republic,Remote,Internship,Python,"Architect, Mysql, Github, Postgresql, Aws",English,Architect,,Recent,https://do.linkedin.com/jobs/view/backend-python-developer-apis-integrations-at-segadty-4403854383,2026-05-18T13:53:31.187808+00:00
14,Python Developer | Poland,linkedin,Python Developer,AppTailors,Poland,Remote,Contract,"Can, Generative Ai, Python","Senior, Gcp, Django, Machine Learning",English,Senior,,Recent,https://pl.linkedin.com/jobs/view/python-developer-at-apptailors-4402807399,2026-05-18T13:53:33.653857+00:00
14,Python Developer | Poland,linkedin,"Python Engineer, Data Platform",Balyasny Asset Management L.P.,"Warsaw, Mazowieckie, Poland",On-site,Contract,"Can, Claude, Cursor, Python","Senior, Prometheus, Grafana, Datadog, Aws, Kubernetes, Sql",English,Senior,,Recent,https://pl.linkedin.com/jobs/view/python-engineer-data-platform-at-balyasny-asset-management-l-p-4388907318,2026-05-18T13:53:33.654826+00:00
14,Python Developer | USA,linkedin,Python Developer,Genpact,New York City Metropolitan Area,On-site,Internship,"Can, Python","Senior, Principal, Azure, Lead, Consultant, Sql Server, Sql, Snowflake, Fastapi, Pandas",English,"Consultant, Lead, Principal, Senior",,Recent,https://www.linkedin.com/jobs/view/python-developer-at-genpact-4410652010,2026-05-18T13:53:36.232747+00:00
14,Python Developer | USA,linkedin,Python Developer,Infosys,"Hartford, CT",On-site,Contract,Python,"Agile, Consultant, Sql",English,Consultant,,Recent,https://www.linkedin.com/jobs/view/python-developer-at-infosys-4404132028,2026-05-18T13:53:36.233874+00:00
14,Python Developer | United Kingdom,linkedin,Python Software Engineer,Prima,"London, England, United Kingdom",On-site,Full-time,"Can, Ci/Cd, Python","Senior, Spark, Agile, Databricks, Lead, Aws, Machine Learning",English,"Lead, Senior",,Recent,https://uk.linkedin.com/jobs/view/python-software-engineer-at-prima-4149696449,2026-05-18T13:53:38.668547+00:00
14,Python Developer | United Kingdom,linkedin,Python Developer,numi,"London Area, United Kingdom",On-site,Full-time,"Ci/Cd, Pytest, Python","Associate, Serverless, Mid-Level, Junior, Agile, Lead, Aws, Pandas",English,Lead,,Recent,https://uk.linkedin.com/jobs/view/python-developer-at-numi-4320569358,2026-05-18T13:53:38.668916+00:00
14,Python Developer | United Kingdom,linkedin,Python Developer Remote,Mercor,"London, England, United Kingdom",Remote,Contract,Python,"Contractor, Fastapi",English,Contractor,,Recent,https://uk.linkedin.com/jobs/view/python-developer-remote-at-mercor-4404777822,2026-05-18T13:53:38.669578+00:00
14,Python Test | Remote,linkedin,Senior Python Systems Developer - Functional Testing Project,Mindrift,"Berlin, Berlin, Germany",Remote,Contract,"Bash, C, C++, Can, Claude, Cursor, Go, Llm, Pytest, Python, Rust","Senior, Docker, Github, Expert, Linux, Git",English,"Expert, Senior",,Recent,https://de.linkedin.com/jobs/view/senior-python-systems-developer-functional-testing-project-at-mindrift-4414227125,2026-05-18T13:53:48.228669+00:00
