relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
29,QA Engineer | Poland,linkedin,Quality Assurance Automation Engineer,Intellias,Poland,On-site,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/quality-assurance-automation-engineer-at-intellias-4413456323,2026-05-14T11:56:13.869730+00:00
14,Firmware Engineer | Austria,linkedin,Senior Embedded Software Engineer (m/f/d),CycloTech GmbH,"Linz, Upper Austria, Austria",On-site,Full-time,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-embedded-software-engineer-m-f-d-at-cyclotech-gmbh-4409298206,2026-05-14T11:58:14.917993+00:00
14,Firmware Engineer | Remote,linkedin,Senior Software Engineer,Portless,Germany,Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-at-portless-4409469106,2026-05-14T11:58:19.673599+00:00
14,Firmware Engineer | Remote,linkedin,Senior Software Engineer (m/f/d),Credibur,Germany,Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-m-f-d-at-credibur-4414147202,2026-05-14T11:58:19.673862+00:00
14,Firmware Engineer | Remote,linkedin,Software Engineer I - Entry Level,Mercor,"Berlin, Berlin, Germany",Remote,Contract,Python,"Contractor, Fastapi",English,Contractor,,Recent,https://de.linkedin.com/jobs/view/software-engineer-i-entry-level-at-mercor-4405352011,2026-05-14T11:58:19.674006+00:00
14,Firmware Engineer | Remote,linkedin,Principal Software Engineer | Upto $150/hr,Mercor,"Berlin, Berlin, Germany",Remote,Full-time,,Principal,English,Principal,,Recent,https://de.linkedin.com/jobs/view/principal-software-engineer-upto-%24150-hr-at-mercor-4408353631,2026-05-14T11:58:19.674265+00:00
14,Firmware Engineer | Remote,linkedin,Principal Software Engineer,Pubgenius Inc.,Germany,Remote,Contract,"Rust, Typescript","Golang, Gpt, Contractor, Sql, Mysql, React, Node.Js, Machine Learning, Senior, Principal",English,"Contractor, Principal, Senior",,Recent,https://de.linkedin.com/jobs/view/principal-software-engineer-at-pubgenius-inc-4411207409,2026-05-14T11:58:19.674394+00:00
14,Firmware Engineer | Slovakia,linkedin,Senior Software Engineer - Infrastructure,Cast AI,Slovakia,On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-software-engineer-infrastructure-at-cast-ai-4411463400,2026-05-14T11:58:22.136664+00:00
14,Firmware Engineer | Slovakia,linkedin,Senior Software Engineer,Bloomreach,Slovakia,On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-software-engineer-at-bloomreach-4289254318,2026-05-14T11:58:22.136989+00:00
14,Firmware Engineer | Slovakia,linkedin,"Staff / Senior Software Engineer, DepoLive",Filevine,"Bratislava, Bratislava, Slovakia",On-site,Contract,Python,"Kubernetes, React, Architect, Senior, Terraform, Staff, Aws",English,"Architect, Senior, Staff",,Recent,https://sk.linkedin.com/jobs/view/staff-senior-software-engineer-depolive-at-filevine-4404569463,2026-05-14T11:58:22.137124+00:00
14,Firmware Engineer | Slovakia,linkedin,"Senior Software Engineer, Client Applications (Europe)",FileCloud,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-software-engineer-client-applications-europe-at-filecloud-4413460296,2026-05-14T11:58:22.137657+00:00
14,Firmware Engineer | Czech Republic,linkedin,Senior Software Engineer,Fulcrum Digital Inc,Dominican Republic,On-site,Full-time,"Can, Llm, Python","Lead, Databricks, Sql, Agile, Senior, Spark",English,"Lead, Senior",,Recent,https://do.linkedin.com/jobs/view/senior-software-engineer-at-fulcrum-digital-inc-4414122819,2026-05-14T11:58:24.576602+00:00
14,Firmware Engineer | Czech Republic,linkedin,Software Engineer - AI & Automations,Emapta Global,"Santo Domingo, Distrito Nacional, Dominican Republic",On-site,Contract,"Can, Claude, Llm, Playwright, Python, Selenium","React, Architect, Docker, Aws",English,Architect,,Recent,https://do.linkedin.com/jobs/view/software-engineer-ai-automations-at-emapta-global-4408980125,2026-05-14T11:58:24.576996+00:00
14,Firmware Engineer | Poland,linkedin,"Software Engineer, FinOps",Samba TV,"Warsaw, Mazowieckie, Poland",On-site,Contract,Python,"Lead, Databricks, Sql, Kubernetes, Snowflake, Terraform, Gcp, Aws",English,Lead,,Recent,https://pl.linkedin.com/jobs/view/software-engineer-finops-at-samba-tv-4312933080,2026-05-14T11:58:26.973276+00:00
0,Tester | Germany,linkedin,Software Engineer in Test (Berlin),Cresta,"Berlin, Berlin, Germany",On-site,Contract,"Can, Ci/Cd, Go, Playwright, Typescript","Datadog, Cypress, Grafana, Manual Testing",English,,,Recent,https://de.linkedin.com/jobs/view/software-engineer-in-test-berlin-at-cresta-4343158227,2026-05-14T11:55:38.225938+00:00
0,Tester | Germany,linkedin,QA Manual Tester (all genders),JustPlay,"Grünwald, Bavaria, Germany",Remote,Contract,,"Jira, Regression Testing, Agile",English,,,Recent,https://de.linkedin.com/jobs/view/qa-manual-tester-all-genders-at-justplay-4405231895,2026-05-14T11:55:38.226152+00:00
0,Tester | Germany,linkedin,Test Engineer,Auxo Talent,Germany,On-site,Contract,"Ci/Cd, Java, Jenkins, Python, Test Automation","Git, Gitlab, Graphql, Gitlab Ci, Devops, Kotlin",English,,,Recent,https://de.linkedin.com/jobs/view/test-engineer-at-auxo-talent-4413593558,2026-05-14T11:55:38.226301+00:00
0,Tester | Germany,linkedin,Software Tester (m/w/d),Bizerba,"Balingen, Baden-Württemberg, Germany",Hybrid,Full-time,Test Automation,"R, Linux",German,,,Recent,https://de.linkedin.com/jobs/view/software-tester-m-w-d-at-bizerba-4369545776,2026-05-14T11:55:38.226432+00:00
0,Tester | Germany,linkedin,Software Test Engineer (m/w/d) – Banking  (ID: 22229),Da Vinci Engineering GmbH,"Karlsruhe, Baden-Württemberg, Germany",On-site,Internship,,"Associate, Jira, Confluence, Kanban, Scrum, R, Postman",German,,,Recent,https://de.linkedin.com/jobs/view/software-test-engineer-m-w-d-%E2%80%93-banking-id-22229-at-da-vinci-engineering-gmbh-4387962742,2026-05-14T11:55:38.226568+00:00
0,Tester | Germany,linkedin,Software Tester (m/w/d),Computer Futures,"Hannover, Lower Saxony, Germany",Remote,Full-time,,R,German,,,Recent,https://de.linkedin.com/jobs/view/software-tester-m-w-d-at-computer-futures-4404079613,2026-05-14T11:55:38.226711+00:00
0,Tester | Germany,linkedin,Software Test Engineer (m/w/d) – Banking (ID: 22230),Da Vinci Engineering GmbH,"Münster, North Rhine-Westphalia, Germany",On-site,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/software-test-engineer-m-w-d-%E2%80%93-banking-id-22230-at-da-vinci-engineering-gmbh-4387968513,2026-05-14T11:55:38.226843+00:00
0,Tester | Germany,linkedin,Test Engineer (m/w/d),oneclick Group AG,"Traunstein, Bavaria, Germany",On-site,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/test-engineer-m-w-d-at-oneclick-group-ag-4413814452,2026-05-14T11:55:38.226998+00:00
0,Tester | Germany,linkedin,IT-Software Tester,CompuSafe Data Systems AG,"Berlin, Germany",Remote,Full-time,,"Jira, R",German,,,Recent,https://de.linkedin.com/jobs/view/it-software-tester-at-compusafe-data-systems-ag-4408794830,2026-05-14T11:55:38.227124+00:00
0,Tester | Germany,linkedin,Quality Assurance Test Engineer (m/f/d),LimeSurvey GmbH,"Hamburg, Hamburg, Germany",Remote,Internship,"Can, Javascript, Playwright, Selenium, Typescript","Mysql, Php, React, Manual Testing, Cypress, Redis, Docker",English,,,Recent,https://de.linkedin.com/jobs/view/quality-assurance-test-engineer-m-f-d-at-limesurvey-gmbh-4413441630,2026-05-14T11:55:38.227253+00:00
0,Tester | Austria,linkedin,Software Test Engineer @ AutomationX,DEVjobs,"Graz, Styria, Austria",On-site,Full-time,,,English,,,Recent,https://at.linkedin.com/jobs/view/software-test-engineer-%40-automationx-at-devjobs-4413867417,2026-05-14T11:55:40.568269+00:00
0,Tester | Austria,linkedin,Software Tester,FB Consulting & Trade GmbH,"Vienna, Austria",On-site,Full-time,,,English,,,Recent,https://at.linkedin.com/jobs/view/software-tester-at-fb-consulting-trade-gmbh-4410472405,2026-05-14T11:55:40.568440+00:00
0,Tester | Austria,linkedin,AI Scenario Tester,JHC Consulting,"Vienna, Vienna, Austria",On-site,Full-time,,,English,,,Recent,https://at.linkedin.com/jobs/view/ai-scenario-tester-at-jhc-consulting-4412198285,2026-05-14T11:55:40.568584+00:00
0,Tester | Austria,linkedin,QA Engineer (m/w/d),Yorizon Cloud,"Vienna, Austria",On-site,Full-time,,,English,,,Recent,https://at.linkedin.com/jobs/view/qa-engineer-m-w-d-at-yorizon-cloud-4398273672,2026-05-14T11:55:40.568716+00:00
0,Tester | Austria,linkedin,Test Engineer (all genders),Lam Research,Greater Salzburg,On-site,Full-time,,,English,,,Recent,https://at.linkedin.com/jobs/view/test-engineer-all-genders-at-lam-research-4390983718,2026-05-14T11:55:40.568851+00:00
0,Tester | Austria,linkedin,Software Tester (Analytics & GUI),MXP,"Graz, Styria, Austria",On-site,Contract,"Ci/Cd, Playwright, Test Automation",Cypress,English,,,Recent,https://at.linkedin.com/jobs/view/software-tester-analytics-gui-at-mxp-4406979574,2026-05-14T11:55:40.569002+00:00
0,Tester | Austria,linkedin,SOFTWARE TEST ENGINEER (m/w/d),Instaffo,"Linz, Upper Austria, Austria",On-site,Full-time,,"Git, Jira, Confluence, Cypress, R",German,,,Recent,https://at.linkedin.com/jobs/view/software-test-engineer-m-w-d-at-instaffo-4383810713,2026-05-14T11:55:40.569134+00:00
0,Tester | Austria,linkedin,Production Test Automation Engineer (m/w/d),Vusion,"Fernitz-Mellach, Styria, Austria",Remote,Contract,"Python, Test Automation",Safe,English,,,Recent,https://at.linkedin.com/jobs/view/production-test-automation-engineer-m-w-d-at-vusion-4404740123,2026-05-14T11:55:40.569267+00:00
0,Tester | Austria,linkedin,SOFTWARE TEST ENGINEER (m/w/d),eurofunk Kappacher GmbH,"Salzburg, Salzburg, Austria",Remote,Internship,,"Git, Jira, Confluence, Cypress, R",German,,,Recent,https://at.linkedin.com/jobs/view/software-test-engineer-m-w-d-at-eurofunk-kappacher-gmbh-4406716367,2026-05-14T11:55:40.569539+00:00
0,Tester | Switzerland,linkedin,Junior Software Tester,ITech Consult AG,"Zurich, Switzerland",Remote,Contract,,"Jira, Agile, Kanban, Scrum, Junior",English,,,Recent,https://ch.linkedin.com/jobs/view/junior-software-tester-at-itech-consult-ag-4410463291,2026-05-14T11:55:42.904927+00:00
0,Tester | Switzerland,linkedin,Test engineer,Qim info,"Geneva, Switzerland",Hybrid,Contract,"Ci/Cd, Java, Python, Shell, Test Automation","Jira, Agile, Waterfall, Load Testing, Performance Testing",English,,,Recent,https://ch.linkedin.com/jobs/view/test-engineer-at-qim-info-4403757271,2026-05-14T11:55:42.905111+00:00
0,Tester | Switzerland,linkedin,Test Engineer,Pascal Dietrich Consulting AG,"Zurich, Switzerland",On-site,Full-time,"Ci/Cd, Test Automation","Gitlab, Jira, R, Devops, Azure",German,,,Recent,https://ch.linkedin.com/jobs/view/test-engineer-at-pascal-dietrich-consulting-ag-4407273406,2026-05-14T11:55:42.905249+00:00
0,Tester | Switzerland,linkedin,Test Engineer (AI),Sixsentix,"Zurich, Switzerland",On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/test-engineer-ai-at-sixsentix-4392275860,2026-05-14T11:55:42.905378+00:00
0,Tester | Switzerland,linkedin,Test engineer,KEYTEO,"Geneva, Switzerland",On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/test-engineer-at-keyteo-4402860898,2026-05-14T11:55:42.905515+00:00
0,Tester | Switzerland,linkedin,Software Test Engineer (H/F),fortil,Lausanne Metropolitan Area,On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/software-test-engineer-h-f-at-fortil-4407812849,2026-05-14T11:55:42.905646+00:00
0,Tester | Switzerland,linkedin,Test Engineer,Glocomms,"Zurich, Switzerland",On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/test-engineer-at-glocomms-4406787841,2026-05-14T11:55:42.905782+00:00
0,Tester | Switzerland,linkedin,Software Test Engineer (H/F),fortil,"Meyrin, Geneva, Switzerland",On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/software-test-engineer-h-f-at-fortil-4407379511,2026-05-14T11:55:42.905910+00:00
0,Tester | Switzerland,linkedin,Software Development Engineer in Test,Antaes Consulting,"Geneva, Switzerland",On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/software-development-engineer-in-test-at-antaes-consulting-4405541516,2026-05-14T11:55:42.906055+00:00
0,Tester | Switzerland,linkedin,Test Engineer,ITech Consult AG,"Bern, Berne, Switzerland",On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/test-engineer-at-itech-consult-ag-4413046718,2026-05-14T11:55:42.906185+00:00
0,Tester | Remote,linkedin,App-Tester  (m/w/d),clickworker,Germany,Remote,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/app-tester-m-w-d-at-clickworker-4405501584,2026-05-14T11:55:45.239067+00:00
0,Tester | Remote,linkedin,Software Tester (all genders),NFON AG,Germany,Remote,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/software-tester-all-genders-at-nfon-ag-4400814228,2026-05-14T11:55:45.239195+00:00
0,Tester | Remote,linkedin,Test Engineer,FormFactor Inc.,"Thiendorf, Saxony, Germany",Remote,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/test-engineer-at-formfactor-inc-4403639416,2026-05-14T11:55:45.239318+00:00
0,Tester | Remote,linkedin,ISTQB® Certified QA Tester (Mobile Apps) Event Discovery Platform (m/f/d),Louco,Germany,Remote,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/istqb%C2%AE-certified-qa-tester-mobile-apps-event-discovery-platform-m-f-d-at-louco-4410374691,2026-05-14T11:55:45.239441+00:00
0,Tester | Remote,linkedin,Software Tester (m/w/d) Full Remote,Computer Futures,"Berlin, Berlin, Germany",Remote,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/software-tester-m-w-d-full-remote-at-computer-futures-4413298979,2026-05-14T11:55:45.239582+00:00
0,Tester | Remote,linkedin,Testing,SThree,"Hamburg, Hamburg, Germany",Remote,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/testing-at-sthree-4414209177,2026-05-14T11:55:45.239849+00:00
0,Tester | Slovakia,linkedin,Manual Tester (42538),CoolPeople,Bratislava Metropolitan Area,On-site,Full-time,,,English,,,Recent,https://sk.linkedin.com/jobs/view/manual-tester-42538-at-coolpeople-4410067078,2026-05-14T11:55:47.651030+00:00
0,Tester | Slovakia,linkedin,Manual Tester (42539),CoolPeople,Bratislava Metropolitan Area,On-site,Full-time,,,English,,,Recent,https://sk.linkedin.com/jobs/view/manual-tester-42539-at-coolpeople-4410071061,2026-05-14T11:55:47.651224+00:00
0,Tester | Slovakia,linkedin,Manual QA Tester,Descartes Systems Group,"Žilina, Zilina, Slovakia",On-site,Full-time,,,English,,,Recent,https://sk.linkedin.com/jobs/view/manual-qa-tester-at-descartes-systems-group-4382115365,2026-05-14T11:55:47.651427+00:00
0,Tester | Slovakia,linkedin,Student Part-time QA Tester (all humans),Erste Digital,"Bratislava, Bratislava, Slovakia",On-site,Internship,,,English,,,Recent,https://sk.linkedin.com/jobs/view/student-part-time-qa-tester-all-humans-at-erste-digital-4403734414,2026-05-14T11:55:47.651568+00:00
0,Tester | Slovakia,linkedin,Test Engineer,Multitude,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,,English,,,Recent,https://sk.linkedin.com/jobs/view/test-engineer-at-multitude-4379037173,2026-05-14T11:55:47.651698+00:00
0,Tester | Slovakia,linkedin,Agile Test Engineer,ESET,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,Agile,English,,,Recent,https://sk.linkedin.com/jobs/view/agile-test-engineer-at-eset-4403248690,2026-05-14T11:55:47.651834+00:00
0,Tester | Slovakia,linkedin,Agile Test Engineer,ESET,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,Agile,English,,,Recent,https://sk.linkedin.com/jobs/view/agile-test-engineer-at-eset-4405185637,2026-05-14T11:55:47.651984+00:00
0,Tester | Slovakia,linkedin,Medior Agile Tester,ESET,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,Agile,English,,,Recent,https://sk.linkedin.com/jobs/view/medior-agile-tester-at-eset-4374813990,2026-05-14T11:55:47.652114+00:00
0,Tester | Slovakia,linkedin,Agile Test Engineer,ESET,"Košice, Kosice, Slovakia",On-site,Full-time,,Agile,English,,,Recent,https://sk.linkedin.com/jobs/view/agile-test-engineer-at-eset-4405175696,2026-05-14T11:55:47.652250+00:00
0,Tester | Slovakia,linkedin,Test Engineer,Magna International,"Kechnec, Kosice, Slovakia",On-site,Internship,,,English,,,Recent,https://sk.linkedin.com/jobs/view/test-engineer-at-magna-international-4394620575,2026-05-14T11:55:47.652389+00:00
0,Tester | Czech Republic,linkedin,Líder Tester Automatizador TI,Banco Popular Dominicano,"Santo Domingo, Dominican Republic",On-site,Full-time,,,English,,,Recent,https://do.linkedin.com/jobs/view/l%C3%ADder-tester-automatizador-ti-at-banco-popular-dominicano-4401626588,2026-05-14T11:55:50.003219+00:00
0,Tester | Czech Republic,linkedin,Software Quality Assurance Tester / R + D - Remote Work,BairesDev,"Santo Domingo, Dominican Republic",Remote,Full-time,,R,English,,,Recent,https://do.linkedin.com/jobs/view/software-quality-assurance-tester-r-%2B-d-remote-work-at-bairesdev-4413109225,2026-05-14T11:55:50.003396+00:00
0,Tester | Czech Republic,linkedin,Software Development Engineer in Test (SDET),Flash,"Santo Domingo, Distrito Nacional, Dominican Republic",On-site,Full-time,,,English,,,Recent,https://do.linkedin.com/jobs/view/software-development-engineer-in-test-sdet-at-flash-4391531625,2026-05-14T11:55:50.003673+00:00
0,Tester | Czech Republic,linkedin,Software Development Engineer in Test,Origami Risk,"Santo Domingo, Distrito Nacional, Dominican Republic",On-site,Full-time,,,English,,,Recent,https://do.linkedin.com/jobs/view/software-development-engineer-in-test-at-origami-risk-4390621348,2026-05-14T11:55:50.003801+00:00
0,Tester | Czech Republic,linkedin,Electricista Industrial - Santo Domingo Norte,GROW Management Consulting,"Los Mina Norte, Santo Domingo, Dominican Republic",On-site,Full-time,,,English,,,Recent,https://do.linkedin.com/jobs/view/electricista-industrial-santo-domingo-norte-at-grow-management-consulting-4404459275,2026-05-14T11:55:50.003934+00:00
0,Tester | Czech Republic,linkedin,Quality Inspector I-4,Integer Holdings Corporation,"Santo Domingo, Distrito Nacional, Dominican Republic",On-site,Full-time,C,"Oracle, Assembly, Associate, Entry-Level, Graduate",English,,,Recent,https://do.linkedin.com/jobs/view/quality-inspector-i-4-at-integer-holdings-corporation-4409081965,2026-05-14T11:55:50.004216+00:00
0,Tester | Czech Republic,linkedin,Quality Inspector I-3,Integer Holdings Corporation,"Santo Domingo, Distrito Nacional, Dominican Republic",On-site,Full-time,,,English,,,Recent,https://do.linkedin.com/jobs/view/quality-inspector-i-3-at-integer-holdings-corporation-4409099049,2026-05-14T11:55:50.004346+00:00
0,Tester | Czech Republic,linkedin,Técnico Electrónico II -3er Turno,Eaton,"Bajos de Haina, San Cristóbal, Dominican Republic",On-site,Full-time,C,"Mil, Matlab",English,,,Recent,https://do.linkedin.com/jobs/view/t%C3%A9cnico-electr%C3%B3nico-ii-3er-turno-at-eaton-4408858591,2026-05-14T11:55:50.004478+00:00
0,Tester | Poland,linkedin,Junior Game Tester,8Bit - Games Industry Recruitment,"Warsaw, Mazowieckie, Poland",On-site,Full-time,,Junior,English,,,Recent,https://pl.linkedin.com/jobs/view/junior-game-tester-at-8bit-games-industry-recruitment-4408840330,2026-05-14T11:55:52.403042+00:00
0,Tester | Poland,linkedin,Software Engineer in Test,AirHelp,"Gdańsk, Pomorskie, Poland",On-site,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/software-engineer-in-test-at-airhelp-4402960583,2026-05-14T11:55:52.403215+00:00
0,Tester | Poland,linkedin,Software Engineer in Test,AirHelp,"Cracow, Małopolskie, Poland",On-site,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/software-engineer-in-test-at-airhelp-4402966518,2026-05-14T11:55:52.403366+00:00
0,Tester | Poland,linkedin,Manual Tester,Jit Team,"Gdynia, Pomorskie, Poland",On-site,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/manual-tester-at-jit-team-4403442183,2026-05-14T11:55:52.403507+00:00
0,Tester | Poland,linkedin,Manual Tester,Jit Team,"Gdańsk, Pomorskie, Poland",On-site,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/manual-tester-at-jit-team-4404941000,2026-05-14T11:55:52.403641+00:00
0,Tester | Poland,linkedin,Junior Test Specialist/QA Engineer (f/m),Netcompany,"Warsaw, Mazowieckie, Poland",On-site,Contract,"Can, Test Automation","Sql, Postman, Junior",English,,,Recent,https://pl.linkedin.com/jobs/view/junior-test-specialist-qa-engineer-f-m-at-netcompany-4388072621,2026-05-14T11:55:52.403780+00:00
0,Tester | Poland,linkedin,Manual Tester (ubezpieczenia),Altkom Software,"Warsaw, Mazowieckie, Poland",On-site,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/manual-tester-ubezpieczenia-at-altkom-software-4413425569,2026-05-14T11:55:52.403909+00:00
0,Tester | Poland,linkedin,Manual Tester - procesy biznesowe,Altkom Software,"Warsaw, Mazowieckie, Poland",On-site,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/manual-tester-procesy-biznesowe-at-altkom-software-4408779106,2026-05-14T11:55:52.404049+00:00
0,Tester | Poland,linkedin,Tester,HCLTech,Wroclaw Metropolitan Area,On-site,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/tester-at-hcltech-4410488497,2026-05-14T11:55:52.404177+00:00
0,Tester | Poland,linkedin,Intermediate Test Engineer - OP02133,Dev.Pro,"Wrocław, Dolnośląskie, Poland",On-site,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/intermediate-test-engineer-op02133-at-dev-pro-4413295873,2026-05-14T11:55:52.404310+00:00
0,Tester | USA,linkedin,Junior QA Manual Tester (Remote – US & Canada),CloudBerry,United States,Remote,Full-time,,Junior,English,,,Recent,https://www.linkedin.com/jobs/view/junior-qa-manual-tester-remote-%E2%80%93-us-canada-at-cloudberry-4406136551,2026-05-14T11:55:54.948643+00:00
0,Tester | USA,linkedin,Game Tester | $20/hr Remote,Crossing Hurdles,United States,Remote,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/game-tester-%2420-hr-remote-at-crossing-hurdles-4413535920,2026-05-14T11:55:54.948818+00:00
0,Tester | USA,linkedin,Mobile Manual QA Tester,Fi,"New York, NY",Remote,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/mobile-manual-qa-tester-at-fi-4413260785,2026-05-14T11:55:54.948971+00:00
0,Tester | USA,linkedin,Manual Tester,Asvatthah,"Indiana, United States",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/manual-tester-at-asvatthah-4412976157,2026-05-14T11:55:54.949110+00:00
0,Tester | USA,linkedin,Quality Assurance Tester (Manual),Agdova Technologies,"Delhi, MI",On-site,Full-time,,"Sql, Agile, Regression Testing, Scrum, Manual Testing",English,,,Recent,https://www.linkedin.com/jobs/view/quality-assurance-tester-manual-at-agdova-technologies-4407220396,2026-05-14T11:55:54.949362+00:00
0,Tester | USA,linkedin,Manual Tester,Entech,"Malvern, PA",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/manual-tester-at-entech-4411233901,2026-05-14T11:55:54.949489+00:00
0,Tester | USA,linkedin,QA Tester,Maagsoft Inc.,"Albany, NY",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/qa-tester-at-maagsoft-inc-4412133256,2026-05-14T11:55:54.949618+00:00
0,Tester | USA,linkedin,QA Tester Functional Jr.,Stefanini LATAM,"Washington, DC",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/qa-tester-functional-jr-at-stefanini-latam-4411766815,2026-05-14T11:55:54.949877+00:00
0,Tester | United Kingdom,linkedin,Game Tester | $20/hr Remote,Crossing Hurdles,United Kingdom,Remote,Contract,,,English,,,Recent,https://uk.linkedin.com/jobs/view/game-tester-%2420-hr-remote-at-crossing-hurdles-4413544571,2026-05-14T11:55:57.446781+00:00
0,Tester | United Kingdom,linkedin,Software Test Engineer,Coforge,"Leeds, England, United Kingdom",On-site,Full-time,,,English,,,Recent,https://uk.linkedin.com/jobs/view/software-test-engineer-at-coforge-4412661998,2026-05-14T11:55:57.446961+00:00
0,Tester | United Kingdom,linkedin,Remote Game Tester & Survey Taker – Immediate Start (No Experience) - Freecash,Jobster,"London, England, United Kingdom",Remote,Full-time,,,English,,,Recent,https://uk.linkedin.com/jobs/view/remote-game-tester-survey-taker-%E2%80%93-immediate-start-no-experience-freecash-at-jobster-4413096770,2026-05-14T11:55:57.447108+00:00
0,Tester | United Kingdom,linkedin,Remote Game Tester & Survey Taker – Immediate Start (No Experience) - Freecash,Jobster,"Milton Keynes, England, United Kingdom",Remote,Full-time,,,English,,,Recent,https://uk.linkedin.com/jobs/view/remote-game-tester-survey-taker-%E2%80%93-immediate-start-no-experience-freecash-at-jobster-4413104465,2026-05-14T11:55:57.447256+00:00
0,Tester | United Kingdom,linkedin,Test Engineer,Fuse Energy,"London, England, United Kingdom",On-site,Full-time,,,English,,,Recent,https://uk.linkedin.com/jobs/view/test-engineer-at-fuse-energy-4403466880,2026-05-14T11:55:57.447393+00:00
0,Tester | United Kingdom,linkedin,Software Engineer in Test,Qurated,"Manchester Area, United Kingdom",On-site,Full-time,,,English,,,Recent,https://uk.linkedin.com/jobs/view/software-engineer-in-test-at-qurated-4404678841,2026-05-14T11:55:57.447526+00:00
0,Tester | United Kingdom,linkedin,Remote Game Tester & Survey Taker – Immediate Start (No Experience) - Freecash,Jobster,"Slough, England, United Kingdom",Remote,Full-time,,,English,,,Recent,https://uk.linkedin.com/jobs/view/remote-game-tester-survey-taker-%E2%80%93-immediate-start-no-experience-freecash-at-jobster-4413097728,2026-05-14T11:55:57.447668+00:00
0,Tester | United Kingdom,linkedin,Remote Game Tester & Survey Taker – Immediate Start (No Experience) - Freecash,Jobster,"Blackpool, England, United Kingdom",Remote,Full-time,,,English,,,Recent,https://uk.linkedin.com/jobs/view/remote-game-tester-survey-taker-%E2%80%93-immediate-start-no-experience-freecash-at-jobster-4413108076,2026-05-14T11:55:57.447805+00:00
0,Tester | United Kingdom,linkedin,Remote Game Tester & Survey Taker – Immediate Start (No Experience) - Freecash,Jobster,"Reading, England, United Kingdom",Remote,Full-time,,,English,,,Recent,https://uk.linkedin.com/jobs/view/remote-game-tester-survey-taker-%E2%80%93-immediate-start-no-experience-freecash-at-jobster-4413103389,2026-05-14T11:55:57.447939+00:00
0,Tester | United Kingdom,linkedin,Remote Game Tester & Survey Taker – Immediate Start (No Experience) - Freecash,Jobster,"Luton, England, United Kingdom",Remote,Full-time,,,English,,,Recent,https://uk.linkedin.com/jobs/view/remote-game-tester-survey-taker-%E2%80%93-immediate-start-no-experience-freecash-at-jobster-4413094783,2026-05-14T11:55:57.448092+00:00
