relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
44,Tester | Austria,linkedin,Internship: Software Test Engineer - JavaCard Applications,NXP Semiconductors,"Gratkorn, Styria, Austria",Remote,Contract,"Can, Java, Jenkins, Test Automation","Senior, Internship",English,Senior,,Recent,https://at.linkedin.com/jobs/view/internship-software-test-engineer-javacard-applications-at-nxp-semiconductors-4390378393,2026-05-07T11:51:59.830866+00:00
14,Firmware Engineer | Slovakia,linkedin,Software Engineer,Slovenská sporiteľňa,"Bratislava, Slovakia",On-site,Full-time,"Ci/Cd, Java, Jenkins, Shell","Serverless, Linux, Azure, Aws, Gitlab, Elk Stack, Prometheus, Sql, Oracle, R",English,Architect,,Recent,https://sk.linkedin.com/jobs/view/software-engineer-at-slovensk%C3%A1-sporite%C4%BE%C5%88a-4408190566,2026-05-07T11:54:40.684832+00:00
14,Firmware Engineer | Czech Republic,linkedin,"Software Engineer (remote, startup)",Meadow Memorials,"Santo Domingo, Distrito Nacional, Dominican Republic",Remote,Contract,"Can, Python, Typescript","Tech Lead, Lead, Fastapi, Contractor, Head Of, Senior, React",English,"Contractor, Lead, Senior",,Recent,https://do.linkedin.com/jobs/view/software-engineer-remote-startup-at-meadow-memorials-4406809438,2026-05-07T11:54:43.095457+00:00
14,Firmware Engineer | Czech Republic,linkedin,Senior Software Engineer,Crane Authentication (NXT),"Santo Domingo, Dominican Republic",On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-software-engineer-at-crane-authentication-nxt-4399159274,2026-05-07T11:54:43.096456+00:00
14,Firmware Engineer | Poland,linkedin,Senior Software Engineer (Platform),Renesas Electronics,"Wrocław, Dolnośląskie, Poland",On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-software-engineer-platform-at-renesas-electronics-4411216249,2026-05-07T11:54:45.538480+00:00
14,Firmware Engineer | United Kingdom,linkedin,Graduate Software Engineer,Dexory,"Wallingford, England, United Kingdom",On-site,Contract,"C, C++, Ci/Cd, Python, Typescript","Tensorflow, Linux, Aws, Pytorch, Senior, Git, Golang, Machine Learning, React, Docker",English,Senior,,Recent,https://uk.linkedin.com/jobs/view/graduate-software-engineer-at-dexory-4402951771,2026-05-07T11:54:50.525207+00:00
14,Firmware Engineer | United Kingdom,linkedin,Junior Software Engineer,Tripadvisor,"London, England, United Kingdom",Remote,Contract,"C, C++, Can, Java, Typescript","Expert, C#, Nosql, Aws, Graphql, Sql, React, Junior, Agile, Kubernetes",English,Expert,,Recent,https://uk.linkedin.com/jobs/view/junior-software-engineer-at-tripadvisor-4314044699,2026-05-07T11:54:50.525339+00:00
0,Tester | Germany,linkedin,Software Engineer in Test (Berlin),Cresta,"Berlin, Berlin, Germany",On-site,Contract,"Can, Ci/Cd, Go, Playwright, Typescript","Grafana, Cypress, Manual Testing, Datadog",English,,,Recent,https://de.linkedin.com/jobs/view/software-engineer-in-test-berlin-at-cresta-4343158227,2026-05-07T11:51:57.462245+00:00
0,Tester | Germany,linkedin,QA Manual Tester (all genders),JustPlay,"Grünwald, Bavaria, Germany",Remote,Contract,,"Regression Testing, Agile, Jira",English,,,Recent,https://de.linkedin.com/jobs/view/qa-manual-tester-all-genders-at-justplay-4405231895,2026-05-07T11:51:57.462425+00:00
0,Tester | Germany,linkedin,QA Tester,innoscripta SE,"Tutzing, Bavaria, Germany",On-site,Internship,"Can, Ci/Cd","Sql, Git, Regression Testing, Postman, Gitlab, Agile, R",English,,,Recent,https://de.linkedin.com/jobs/view/qa-tester-at-innoscripta-se-4407745500,2026-05-07T11:51:57.462578+00:00
0,Tester | Germany,linkedin,Software Tester (m/w/d),Bizerba,"Balingen, Baden-Württemberg, Germany",Hybrid,Full-time,Test Automation,"Linux, R",German,,,Recent,https://de.linkedin.com/jobs/view/software-tester-m-w-d-at-bizerba-4369545776,2026-05-07T11:51:57.462717+00:00
0,Tester | Germany,linkedin,Software Test Engineer (m/w/d) – Banking  (ID: 22229),Da Vinci Engineering GmbH,"Karlsruhe, Baden-Württemberg, Germany",On-site,Internship,,"Jira, Scrum, Postman, Associate, Confluence, Kanban, R",German,,,Recent,https://de.linkedin.com/jobs/view/software-test-engineer-m-w-d-%E2%80%93-banking-id-22229-at-da-vinci-engineering-gmbh-4387962742,2026-05-07T11:51:57.462856+00:00
0,Tester | Germany,linkedin,Software Test Engineer (m/w/d) – Banking (ID: 22230),Da Vinci Engineering GmbH,"Münster, North Rhine-Westphalia, Germany",On-site,Internship,,"Jira, Scrum, Postman, Associate, Confluence, Kanban, R",German,,,Recent,https://de.linkedin.com/jobs/view/software-test-engineer-m-w-d-%E2%80%93-banking-id-22230-at-da-vinci-engineering-gmbh-4387968513,2026-05-07T11:51:57.463003+00:00
0,Tester | Germany,linkedin,Software Tester (m/w/d),Computer Futures,"Hannover, Lower Saxony, Germany",Remote,Full-time,,R,German,,,Recent,https://de.linkedin.com/jobs/view/software-tester-m-w-d-at-computer-futures-4404079613,2026-05-07T11:51:57.463164+00:00
0,Tester | Germany,linkedin,Test Engineer (m/w/d),OC Development GmbH,Germany,On-site,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/test-engineer-m-w-d-at-oc-development-gmbh-4399552075,2026-05-07T11:51:57.463298+00:00
0,Tester | Germany,linkedin,Software Test Engineer (m/w/d) – Banking (ID: 22231),Da Vinci Engineering GmbH,"Munich, Bavaria, Germany",On-site,Internship,"Ci/Cd, Playwright, Test Automation","Safe, Scrum, Jira, Associate, Confluence, Agile, R",German,,,Recent,https://de.linkedin.com/jobs/view/software-test-engineer-m-w-d-%E2%80%93-banking-id-22231-at-da-vinci-engineering-gmbh-4388960045,2026-05-07T11:51:57.463425+00:00
0,Tester | Germany,linkedin,IT-Software Tester,CompuSafe Data Systems AG,"Berlin, Germany",On-site,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/it-software-tester-at-compusafe-data-systems-ag-4408794830,2026-05-07T11:51:57.463559+00:00
0,Tester | Austria,linkedin,Software Tester,FB Consulting & Trade GmbH,"Vienna, Austria",Remote,Contract,"Selenium, Test Automation","Appium, Azure, Devops, Scrum, Jira, Kanban, Agile",English,,,Recent,https://at.linkedin.com/jobs/view/software-tester-at-fb-consulting-trade-gmbh-4410472405,2026-05-07T11:51:59.829558+00:00
0,Tester | Austria,linkedin,Software-Test-Engineer für automatische und manuelle Tests (Teilzeit / Vollzeit),Software Quality Lab Consulting,"Linz, Upper Austria, Austria",On-site,Full-time,"Java, Test Automation",R,German,,,Recent,https://at.linkedin.com/jobs/view/software-test-engineer-f%C3%BCr-automatische-und-manuelle-tests-teilzeit-vollzeit-at-software-quality-lab-consulting-4408817240,2026-05-07T11:51:59.829737+00:00
0,Tester | Austria,linkedin,QA Engineer (m/w/d),Yorizon Cloud,"Vienna, Austria",Remote,Internship,"Ci/Cd, Test Automation","Devops, Agile, R",German,,,Recent,https://at.linkedin.com/jobs/view/qa-engineer-m-w-d-at-yorizon-cloud-4398273672,2026-05-07T11:51:59.829899+00:00
0,Tester | Austria,linkedin,Production Test Automation Engineer (m/w/d),Vusion,"Fernitz-Mellach, Styria, Austria",Remote,Contract,"Python, Test Automation",Safe,English,,,Recent,https://at.linkedin.com/jobs/view/production-test-automation-engineer-m-w-d-at-vusion-4404740123,2026-05-07T11:51:59.830193+00:00
0,Tester | Austria,linkedin,SOFTWARE TEST ENGINEER (m/w/d),eurofunk Kappacher GmbH,"Salzburg, Salzburg, Austria",Remote,Internship,,"Cypress, Git, Jira, Confluence, R",German,,,Recent,https://at.linkedin.com/jobs/view/software-test-engineer-m-w-d-at-eurofunk-kappacher-gmbh-4406716367,2026-05-07T11:51:59.830597+00:00
0,Tester | Austria,linkedin,Software Test & Support Engineer (m/f/d),MED-EL,"Innsbruck, Tyrol, Austria",Remote,Internship,"Can, Test Automation",,English,,,Recent,https://at.linkedin.com/jobs/view/software-test-support-engineer-m-f-d-at-med-el-4388313478,2026-05-07T11:51:59.830735+00:00
0,Tester | Switzerland,linkedin,Junior Software Tester,ITech Consult AG,"Zurich, Switzerland",On-site,Full-time,,Junior,English,,,Recent,https://ch.linkedin.com/jobs/view/junior-software-tester-at-itech-consult-ag-4410463291,2026-05-07T11:52:02.204956+00:00
0,Tester | Switzerland,linkedin,Test engineer,Qim info,"Geneva, Switzerland",On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/test-engineer-at-qim-info-4403757271,2026-05-07T11:52:02.205151+00:00
0,Tester | Switzerland,linkedin,Test Engineer (AI),Sixsentix,"Zurich, Switzerland",On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/test-engineer-ai-at-sixsentix-4392275860,2026-05-07T11:52:02.205292+00:00
0,Tester | Switzerland,linkedin,Test Engineer,Pascal Dietrich Consulting AG,"Zurich, Switzerland",On-site,Full-time,"Ci/Cd, Test Automation","Azure, Devops, Jira, Gitlab, R",German,,,Recent,https://ch.linkedin.com/jobs/view/test-engineer-at-pascal-dietrich-consulting-ag-4407273406,2026-05-07T11:52:02.205424+00:00
0,Tester | Switzerland,linkedin,Junior Tester eBanking (60%),Pro Informatik AG,"Zurich, Switzerland",On-site,Full-time,,Junior,English,,,Recent,https://ch.linkedin.com/jobs/view/junior-tester-ebanking-60%25-at-pro-informatik-ag-4411441531,2026-05-07T11:52:02.205626+00:00
0,Tester | Switzerland,linkedin,Test engineer,KEYTEO,"Geneva, Switzerland",On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/test-engineer-at-keyteo-4402860898,2026-05-07T11:52:02.205837+00:00
0,Tester | Switzerland,linkedin,Software Test Engineer (H/F),fortil,Lausanne Metropolitan Area,On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/software-test-engineer-h-f-at-fortil-4407812849,2026-05-07T11:52:02.206021+00:00
0,Tester | Switzerland,linkedin,Software Test Engineer,Hays,"Vaud, Switzerland",On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/software-test-engineer-at-hays-4401040924,2026-05-07T11:52:02.206173+00:00
0,Tester | Switzerland,linkedin,Test Engineer,Glocomms,"Zurich, Switzerland",On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/test-engineer-at-glocomms-4406787841,2026-05-07T11:52:02.206306+00:00
0,Tester | Switzerland,linkedin,Software Development Engineer in Test,Antaes Consulting,"Geneva, Switzerland",On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/software-development-engineer-in-test-at-antaes-consulting-4405541516,2026-05-07T11:52:02.206437+00:00
0,Tester | Remote,linkedin,App-Tester  (m/w/d),clickworker,Germany,Remote,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/app-tester-m-w-d-at-clickworker-4405501584,2026-05-07T11:52:04.655756+00:00
0,Tester | Remote,linkedin,Software Tester (all genders),NFON AG,Germany,Remote,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/software-tester-all-genders-at-nfon-ag-4400814228,2026-05-07T11:52:04.655892+00:00
0,Tester | Remote,linkedin,Software Tester,FetchJobs.co,Germany,Remote,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/software-tester-at-fetchjobs-co-4410464828,2026-05-07T11:52:04.656029+00:00
0,Tester | Remote,linkedin,Test Engineer,FormFactor Inc.,"Thiendorf, Saxony, Germany",Remote,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/test-engineer-at-formfactor-inc-4403639416,2026-05-07T11:52:04.656178+00:00
0,Tester | Remote,linkedin,Quality Assurance Test Engineer (m/f/d),LimeSurvey GmbH,"Hamburg, Hamburg, Germany",Remote,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/quality-assurance-test-engineer-m-f-d-at-limesurvey-gmbh-4402472199,2026-05-07T11:52:04.656309+00:00
0,Tester | Remote,linkedin,Software Development Engineer in Test,Cardano Foundation,Germany,Remote,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/software-development-engineer-in-test-at-cardano-foundation-4402491213,2026-05-07T11:52:04.656574+00:00
0,Tester | Remote,linkedin,Software Test Engineer (m/w/d),YER Deutschland,"Munich, Bavaria, Germany",Remote,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/software-test-engineer-m-w-d-at-yer-deutschland-4408864329,2026-05-07T11:52:04.656704+00:00
0,Tester | Remote,linkedin,AI Chatbot Tester,Alignerr,Germany,Remote,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/ai-chatbot-tester-at-alignerr-4411288749,2026-05-07T11:52:04.656836+00:00
0,Tester | Slovakia,linkedin,Manual Tester (42538),CoolPeople,Bratislava Metropolitan Area,On-site,Full-time,,,English,,,Recent,https://sk.linkedin.com/jobs/view/manual-tester-42538-at-coolpeople-4410067078,2026-05-07T11:52:07.076254+00:00
0,Tester | Slovakia,linkedin,Manual Tester (42539),CoolPeople,Bratislava Metropolitan Area,On-site,Full-time,,,English,,,Recent,https://sk.linkedin.com/jobs/view/manual-tester-42539-at-coolpeople-4410071061,2026-05-07T11:52:07.076432+00:00
0,Tester | Slovakia,linkedin,Manual QA Tester,Descartes Systems Group,"Žilina, Zilina, Slovakia",On-site,Full-time,,,English,,,Recent,https://sk.linkedin.com/jobs/view/manual-qa-tester-at-descartes-systems-group-4382115365,2026-05-07T11:52:07.076573+00:00
0,Tester | Slovakia,linkedin,Student Part-time QA Tester (all humans),Erste Digital,"Bratislava, Bratislava, Slovakia",On-site,Internship,,,English,,,Recent,https://sk.linkedin.com/jobs/view/student-part-time-qa-tester-all-humans-at-erste-digital-4403734414,2026-05-07T11:52:07.076726+00:00
0,Tester | Slovakia,linkedin,Test Engineer,Multitude,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,,English,,,Recent,https://sk.linkedin.com/jobs/view/test-engineer-at-multitude-4379037173,2026-05-07T11:52:07.076866+00:00
0,Tester | Slovakia,linkedin,Test engineer,Magna International,"Kechnec, Kosice, Slovakia",On-site,Internship,,,English,,,Recent,https://sk.linkedin.com/jobs/view/test-engineer-at-magna-international-4219197667,2026-05-07T11:52:07.076999+00:00
0,Tester | Slovakia,linkedin,Agile Test Engineer,ESET,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,Agile,English,,,Recent,https://sk.linkedin.com/jobs/view/agile-test-engineer-at-eset-4375989657,2026-05-07T11:52:07.077145+00:00
0,Tester | Slovakia,linkedin,Medior Agile Tester,ESET,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,Agile,English,,,Recent,https://sk.linkedin.com/jobs/view/medior-agile-tester-at-eset-4374813990,2026-05-07T11:52:07.077276+00:00
0,Tester | Slovakia,linkedin,Agile Test Engineer,ESET,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,Agile,English,,,Recent,https://sk.linkedin.com/jobs/view/agile-test-engineer-at-eset-4403248690,2026-05-07T11:52:07.077406+00:00
0,Tester | Slovakia,linkedin,Test engineer-1,Magna International,"Kechnec, Kosice, Slovakia",On-site,Internship,,,English,,,Recent,https://sk.linkedin.com/jobs/view/test-engineer-1-at-magna-international-4284413507,2026-05-07T11:52:07.077537+00:00
0,Tester | Czech Republic,linkedin,Líder Tester Automatizador TI,Banco Popular Dominicano,"Santo Domingo, Dominican Republic",On-site,Full-time,,,English,,,Recent,https://do.linkedin.com/jobs/view/l%C3%ADder-tester-automatizador-ti-at-banco-popular-dominicano-4401626588,2026-05-07T11:52:09.449792+00:00
0,Tester | Czech Republic,linkedin,Test Engineer,Eaton,"Bajos de Haina, San Cristóbal, Dominican Republic",On-site,Full-time,,,English,,,Recent,https://do.linkedin.com/jobs/view/test-engineer-at-eaton-4353191207,2026-05-07T11:52:09.449971+00:00
0,Tester | Czech Republic,linkedin,Software Quality Assurance Tester / R + D - Remote Work,BairesDev,"Santo Domingo, Dominican Republic",Remote,Full-time,,R,English,,,Recent,https://do.linkedin.com/jobs/view/software-quality-assurance-tester-r-%2B-d-remote-work-at-bairesdev-4408671703,2026-05-07T11:52:09.450133+00:00
0,Tester | Czech Republic,linkedin,Software Development Engineer in Test,Origami Risk,"Santo Domingo, Distrito Nacional, Dominican Republic",On-site,Full-time,,,English,,,Recent,https://do.linkedin.com/jobs/view/software-development-engineer-in-test-at-origami-risk-4390621348,2026-05-07T11:52:09.450269+00:00
0,Tester | Czech Republic,linkedin,Software Development Engineer in Test (SDET),Flash,"Santo Domingo, Distrito Nacional, Dominican Republic",On-site,Full-time,,,English,,,Recent,https://do.linkedin.com/jobs/view/software-development-engineer-in-test-sdet-at-flash-4391531625,2026-05-07T11:52:09.450400+00:00
0,Tester | Czech Republic,linkedin,Electricista Industrial - Santo Domingo Norte,GROW Management Consulting,"Los Mina Norte, Santo Domingo, Dominican Republic",On-site,Full-time,,,English,,,Recent,https://do.linkedin.com/jobs/view/electricista-industrial-santo-domingo-norte-at-grow-management-consulting-4404459275,2026-05-07T11:52:09.450533+00:00
0,Tester | Czech Republic,linkedin,Coordinador de Mantenimiento (2nd Shift),Eaton,"Bajos de Haina, San Cristóbal, Dominican Republic",On-site,Full-time,,,English,,,Recent,https://do.linkedin.com/jobs/view/coordinador-de-mantenimiento-2nd-shift-at-eaton-4398474900,2026-05-07T11:52:09.450666+00:00
0,Tester | Czech Republic,linkedin,Técnico Electrónico II -3er Turno,Eaton,"Bajos de Haina, San Cristóbal, Dominican Republic",On-site,Full-time,,,English,,,Recent,https://do.linkedin.com/jobs/view/t%C3%A9cnico-electr%C3%B3nico-ii-3er-turno-at-eaton-4408858591,2026-05-07T11:52:09.450934+00:00
0,Tester | Czech Republic,linkedin,Quality Inspector I-1,Integer Holdings Corporation,"Santo Domingo, Distrito Nacional, Dominican Republic",On-site,Full-time,,,English,,,Recent,https://do.linkedin.com/jobs/view/quality-inspector-i-1-at-integer-holdings-corporation-4409090691,2026-05-07T11:52:09.451097+00:00
0,Tester | Poland,linkedin,Mobile QA Engineer/Tester (Remote),Neybox Digital,Poland,Remote,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/mobile-qa-engineer-tester-remote-at-neybox-digital-4410018627,2026-05-07T11:52:11.882021+00:00
0,Tester | Poland,linkedin,Junior Game Tester,8Bit - Games Industry Recruitment,"Warsaw, Mazowieckie, Poland",On-site,Full-time,,Junior,English,,,Recent,https://pl.linkedin.com/jobs/view/junior-game-tester-at-8bit-games-industry-recruitment-4408840330,2026-05-07T11:52:11.882200+00:00
0,Tester | Poland,linkedin,Software Engineer in Test,AirHelp,"Gdańsk, Pomorskie, Poland",On-site,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/software-engineer-in-test-at-airhelp-4402960583,2026-05-07T11:52:11.882341+00:00
0,Tester | Poland,linkedin,Manual Tester,Jit Team,"Gdańsk, Pomorskie, Poland",On-site,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/manual-tester-at-jit-team-4404941000,2026-05-07T11:52:11.882483+00:00
0,Tester | Poland,linkedin,Software Engineer in Test,AirHelp,"Cracow, Małopolskie, Poland",On-site,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/software-engineer-in-test-at-airhelp-4402966518,2026-05-07T11:52:11.882618+00:00
0,Tester | Poland,linkedin,Manual Tester,Jit Team,"Gdynia, Pomorskie, Poland",On-site,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/manual-tester-at-jit-team-4403442183,2026-05-07T11:52:11.882753+00:00
0,Tester | Poland,linkedin,Manual Tester - procesy biznesowe,Altkom Software,"Warsaw, Mazowieckie, Poland",On-site,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/manual-tester-procesy-biznesowe-at-altkom-software-4408779106,2026-05-07T11:52:11.882881+00:00
0,Tester | Poland,linkedin,Junior Test Specialist/QA Engineer (f/m),Netcompany,"Warsaw, Mazowieckie, Poland",On-site,Full-time,,Junior,English,,,Recent,https://pl.linkedin.com/jobs/view/junior-test-specialist-qa-engineer-f-m-at-netcompany-4388072621,2026-05-07T11:52:11.883011+00:00
0,Tester | Poland,linkedin,"Tester / Testerka  - Wroclaw (Dolnośląskie), Polska",Astek,Wroclaw Metropolitan Area,On-site,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/tester-testerka-wroclaw-dolno%C5%9Bl%C4%85skie-polska-at-astek-4358055143,2026-05-07T11:52:11.883291+00:00
0,Tester | USA,linkedin,Junior QA Manual Tester (Remote – US & Canada),CloudBerry,United States,Remote,Full-time,,Junior,English,,,Recent,https://www.linkedin.com/jobs/view/junior-qa-manual-tester-remote-%E2%80%93-us-canada-at-cloudberry-4406136551,2026-05-07T11:52:14.393295+00:00
0,Tester | USA,linkedin,QA Manual Tester,Talent,United States,On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/qa-manual-tester-at-talent-4406598609,2026-05-07T11:52:14.393475+00:00
0,Tester | USA,linkedin,QA Manual Tester,Kaizen Analytix,"Chicago, IL",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/qa-manual-tester-at-kaizen-analytix-4407773479,2026-05-07T11:52:14.393615+00:00
0,Tester | USA,linkedin,Game Tester | $20/hr Remote,Crossing Hurdles,United States,Remote,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/game-tester-%2420-hr-remote-at-crossing-hurdles-4404690874,2026-05-07T11:52:14.393749+00:00
0,Tester | USA,linkedin,Manual Tester,TechClub Inc,"New York, NY",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/manual-tester-at-techclub-inc-4408850433,2026-05-07T11:52:14.393881+00:00
0,Tester | USA,linkedin,Manual Tester,Kforce Inc,"San Antonio, TX",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/manual-tester-at-kforce-inc-4405448676,2026-05-07T11:52:14.394011+00:00
0,Tester | USA,linkedin,QA Tester,KellyMitchell Group,"Gresham, OR",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/qa-tester-at-kellymitchell-group-4380367886,2026-05-07T11:52:14.394154+00:00
0,Tester | USA,linkedin,Manual Tester,Asvatthah,"Indiana, United States",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/manual-tester-at-asvatthah-4411251900,2026-05-07T11:52:14.394284+00:00
0,Tester | USA,linkedin,Jr. Software Test Engineer,"deciBel Research, Inc.","Colorado Springs, CO",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/jr-software-test-engineer-at-decibel-research-inc-4409478117,2026-05-07T11:52:14.394414+00:00
0,Tester | USA,linkedin,Quality Assurance Tester (Manual),Agdova Technologies,"Delhi, MI",On-site,Full-time,,"Sql, Manual Testing, Scrum, Regression Testing, Agile",English,,,Recent,https://www.linkedin.com/jobs/view/quality-assurance-tester-manual-at-agdova-technologies-4407220396,2026-05-07T11:52:14.394541+00:00
0,Tester | United Kingdom,linkedin,Game Tester | $20/hr Remote,Crossing Hurdles,United Kingdom,Remote,Full-time,,,English,,,Recent,https://uk.linkedin.com/jobs/view/game-tester-%2420-hr-remote-at-crossing-hurdles-4404691938,2026-05-07T11:52:16.913335+00:00
0,Tester | United Kingdom,linkedin,Junior Test Engineer,develop,"Fareham, England, United Kingdom",On-site,Full-time,,Junior,English,,,Recent,https://uk.linkedin.com/jobs/view/junior-test-engineer-at-develop-4408407412,2026-05-07T11:52:16.913507+00:00
0,Tester | United Kingdom,linkedin,Software Tester,hackajob,"Stoke-On-Trent, England, United Kingdom",On-site,Full-time,,,English,,,Recent,https://uk.linkedin.com/jobs/view/software-tester-at-hackajob-4406905316,2026-05-07T11:52:16.913650+00:00
0,Tester | United Kingdom,linkedin,Test Engineer,Fuse Energy,"London, England, United Kingdom",On-site,Full-time,,,English,,,Recent,https://uk.linkedin.com/jobs/view/test-engineer-at-fuse-energy-4403466880,2026-05-07T11:52:16.913786+00:00
0,Tester | United Kingdom,linkedin,Software Tester,BMC Recruitment Group,"Newcastle Upon Tyne, England, United Kingdom",On-site,Full-time,,,English,,,Recent,https://uk.linkedin.com/jobs/view/software-tester-at-bmc-recruitment-group-4407838764,2026-05-07T11:52:16.914045+00:00
0,Tester | United Kingdom,linkedin,Game QA Tester | $50/hr Remote,Crossing Hurdles,United Kingdom,Remote,Full-time,,,English,,,Recent,https://uk.linkedin.com/jobs/view/game-qa-tester-%2450-hr-remote-at-crossing-hurdles-4409349090,2026-05-07T11:52:16.914191+00:00
0,Tester | United Kingdom,linkedin,Software Engineer in Test,Qurated,"Manchester Area, United Kingdom",On-site,Full-time,,,English,,,Recent,https://uk.linkedin.com/jobs/view/software-engineer-in-test-at-qurated-4404678841,2026-05-07T11:52:16.914320+00:00
0,Tester | United Kingdom,linkedin,Quality Assurance Tester,Addition,"Farnborough, England, United Kingdom",On-site,Full-time,,,English,,,Recent,https://uk.linkedin.com/jobs/view/quality-assurance-tester-at-addition-4404283817,2026-05-07T11:52:16.914577+00:00
0,QA Engineer | Germany,linkedin,QA Engineer (m/f/d),Appinio,"Hamburg, Hamburg, Germany",On-site,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/qa-engineer-m-f-d-at-appinio-4410714699,2026-05-07T11:52:19.336417+00:00
0,QA Engineer | Germany,linkedin,QA Engineer,Westernacher Solutions,"Berlin, Germany",On-site,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/qa-engineer-at-westernacher-solutions-4401930906,2026-05-07T11:52:19.336580+00:00
0,QA Engineer | Germany,linkedin,QA Engineer (w/m/d),Westernacher Solutions,"Berlin, Germany",On-site,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/qa-engineer-w-m-d-at-westernacher-solutions-4349803462,2026-05-07T11:52:19.336712+00:00
0,QA Engineer | Germany,linkedin,Junior QA Engineer (w/m/d),HUMANOO,"Berlin, Berlin, Germany",On-site,Full-time,,Junior,English,,,Recent,https://de.linkedin.com/jobs/view/junior-qa-engineer-w-m-d-at-humanoo-4409945038,2026-05-07T11:52:19.336843+00:00
0,QA Engineer | Germany,linkedin,Quality Assurance Engineer (m/w/d),ISO-Gruppe,Greater Nuremberg Metropolitan Area,On-site,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/quality-assurance-engineer-m-w-d-at-iso-gruppe-4358570111,2026-05-07T11:52:19.336980+00:00
0,QA Engineer | Germany,linkedin,Quality Assurance Engineer (f/m/d),Renesas Electronics,"Nabern, Baden-Württemberg, Germany",On-site,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/quality-assurance-engineer-f-m-d-at-renesas-electronics-4389742869,2026-05-07T11:52:19.337130+00:00
0,QA Engineer | Germany,linkedin,QA Engineer (m/f/d),Appinio,Germany,On-site,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/qa-engineer-m-f-d-at-appinio-4410724076,2026-05-07T11:52:19.337267+00:00
0,QA Engineer | Germany,linkedin,QA Engineer (iGaming),Jobgether,Germany,On-site,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/qa-engineer-igaming-at-jobgether-4407343448,2026-05-07T11:52:19.337391+00:00
0,QA Engineer | Austria,linkedin,Electrical QA/QC Engineer,Designer Group,"Vienna, Austria",On-site,Full-time,,,English,,,Recent,https://at.linkedin.com/jobs/view/electrical-qa-qc-engineer-at-designer-group-4399875580,2026-05-07T11:52:21.734665+00:00
0,QA Engineer | Austria,linkedin,Research & Development Testing Engineer (m/f/d),Vertus Energy,"Klosterneuburg, Lower Austria, Austria",On-site,Full-time,,,English,,,Recent,https://at.linkedin.com/jobs/view/research-development-testing-engineer-m-f-d-at-vertus-energy-4406485659,2026-05-07T11:52:21.734806+00:00
