relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
44,Python Test | Germany,linkedin,Senior Software Developer Test (m/w/d),Rohde & Schwarz,"Stuttgart, Baden-Württemberg, Germany",On-site,Full-time,"C, C++, Ci/Cd","Senior, Gitlab Ci, R, Gitlab, Jira, Linux, Git",German,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-developer-test-m-w-d-at-rohde-schwarz-4468519132,2026-09-24T14:47:01.480033+00:00
14,Test Automation | United Kingdom,linkedin,Senior Test Automation Engineer,Version 1,"Belfast, Northern Ireland, United Kingdom",Remote,Contract,"Can, Ci/Cd, Integration Testing, Java, Playwright, Selenium, Test Automation","Scrum, Senior, Manual Testing, Agile, Cypress, Snowflake, Aws, Oracle",English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-test-automation-engineer-at-version-1-4449870153,2026-09-24T14:46:28.519500+00:00
14,Python Developer | Germany,linkedin,(Senior) Software Developer Backend / Python,Athereon GRC GmbH,"Saarbrücken, Saarland, Germany",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-developer-backend-python-at-athereon-grc-gmbh-4467502615,2026-09-24T14:46:32.121016+00:00
14,Python Developer | Germany,linkedin,Senior Software Engineer Python (all genders),adesso SE,"Nuremberg, Bavaria, Germany",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-python-all-genders-at-adesso-se-4137442830,2026-09-24T14:46:32.121518+00:00
14,Python Developer | Germany,linkedin,Senior Software Engineer Python (m/f/d),casavi GmbH,"Munich, Bavaria, Germany",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-python-m-f-d-at-casavi-gmbh-4461718223,2026-09-24T14:46:32.121665+00:00
14,Python Developer | Germany,linkedin,Senior Backend Developer (Python),Hornetsecurity,"Hannover, Lower Saxony, Germany",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-backend-developer-python-at-hornetsecurity-4422901025,2026-09-24T14:46:32.121838+00:00
14,Python Developer | Germany,linkedin,Senior Software Engineer Python (m/w/x) Aviation & Aerospace Systems,SII Germany,"Hamburg, Hamburg, Germany",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-python-m-w-x-aviation-aerospace-systems-at-sii-germany-4432416026,2026-09-24T14:46:32.121995+00:00
14,Python Developer | Germany,linkedin,"Senior Backend Engineer, Python/Django (f/d/m)",INES Analytics GmbH,"Berlin, Berlin, Germany",On-site,Full-time,Python,"Senior, Django",English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-backend-engineer-python-django-f-d-m-at-ines-analytics-gmbh-4469342601,2026-09-24T14:46:32.122144+00:00
14,Python Developer | Austria,linkedin,Senior Python Developer,DL Remote,"Klagenfurt, Carinthia, Austria",Remote,Full-time,"Can, Python","Scrum, Senior, Gcp, Postgresql, Devops, Django, Junior, Agile",English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-python-developer-at-dl-remote-4464154720,2026-09-24T14:46:34.587691+00:00
14,Python Developer | Austria,linkedin,Senior Backend Engineer (Python),DL Remote,"Graz, Styria, Austria",Remote,Full-time,Python,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-backend-engineer-python-at-dl-remote-4466891647,2026-09-24T14:46:34.587895+00:00
14,Python Developer | Austria,linkedin,"Senior Backend Engineer – Python & Rust (m/w/d) ML / AI - Healthcare (Graz, Linz oder Wien)",DaphOS GmbH,"Graz, Styria, Austria",On-site,Full-time,"Python, Rust",Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-backend-engineer-%E2%80%93-python-rust-m-w-d-ml-ai-healthcare-graz-linz-oder-wien-at-daphos-gmbh-4469393729,2026-09-24T14:46:34.588200+00:00
14,Python Developer | Austria,linkedin,Senior Software Engineer: Engineering Applications (Python) (m/f/*),PIDSO--Propagation Ideas and Solutions,"Vienna, Vienna, Austria",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-software-engineer-engineering-applications-python-m-f-at-pidso-propagation-ideas-and-solutions-4466261273,2026-09-24T14:46:34.588531+00:00
14,Python Developer | Austria,linkedin,Senior Full Stack Developer,Enery,"Vienna, Austria",On-site,Full-time,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-full-stack-developer-at-enery-4461058779,2026-09-24T14:46:34.589169+00:00
14,Python Developer | Switzerland,linkedin,Senior Python Full Stack Developer,SCOR,"Zurich, Zurich, Switzerland",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-python-full-stack-developer-at-scor-4460319597,2026-09-24T14:46:38.091201+00:00
14,Python Developer | Switzerland,linkedin,Senior Software Engineer,Duferco,"Lugano, Ticino, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-software-engineer-at-duferco-4450343201,2026-09-24T14:46:38.091648+00:00
14,Python Developer | Switzerland,linkedin,Senior Backend Engineer (Python),LocalBini,"Zurich, Zurich, Switzerland",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-backend-engineer-python-at-localbini-4463619029,2026-09-24T14:46:38.091818+00:00
14,Python Developer | Switzerland,linkedin,Python Software Engineer - Digital Assets,IMC Trading,"Zug, Zug, Switzerland",On-site,Contract,"C, C++, Can, Go, Java, Python","Tensorflow, Architect, Scala, Kubernetes, Pandas, Machine Learning, Numpy, Docker, Agile",English,Architect,,Recent,https://ch.linkedin.com/jobs/view/python-software-engineer-digital-assets-at-imc-trading-4320553182,2026-09-24T14:46:38.091976+00:00
14,Python Developer | Switzerland,linkedin,Senior Software Engineer,Tradition,Lausanne Metropolitan Area,On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-software-engineer-at-tradition-4459965824,2026-09-24T14:46:38.092130+00:00
14,Python Developer | Switzerland,linkedin,"Senior Software Engineer, AI Dev Experience",Thomson Reuters,"Zug, Zug, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-software-engineer-ai-dev-experience-at-thomson-reuters-4467539935,2026-09-24T14:46:38.092278+00:00
14,Python Developer | Slovakia,linkedin,Lead Software Engineer - Python,Caterpillar Inc.,"Košice, Kosice, Slovakia",On-site,Full-time,Python,Lead,English,Lead,,Recent,https://sk.linkedin.com/jobs/view/lead-software-engineer-python-at-caterpillar-inc-4414609673,2026-09-24T14:46:44.663532+00:00
14,Python Developer | Slovakia,linkedin,Principal Python Engineer for Agentic AI,Deutsche Telekom Services Europe - Slovakia,"Bratislava, Slovakia",On-site,Full-time,Python,Principal,English,Principal,,Recent,https://sk.linkedin.com/jobs/view/principal-python-engineer-for-agentic-ai-at-deutsche-telekom-services-europe-slovakia-4461891181,2026-09-24T14:46:44.664022+00:00
14,Python Developer | Slovakia,linkedin,Senior Software Engineer – genAI,Caterpillar Inc.,"Košice, Kosice, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-software-engineer-%E2%80%93-genai-at-caterpillar-inc-4466300813,2026-09-24T14:46:44.664174+00:00
14,Python Developer | Czech Republic,linkedin,Senior Python Software Engineer - AI REQ_58,3Pillar,Dominican Republic,Remote,Contract,"Can, Claude, Cursor, Github Copilot, Pytest, Python, Unit Testing","Github, Senior, Gitlab, Snowflake, Kubernetes, React, Flask, Aws, Git, Docker",English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-python-software-engineer-ai-req-58-at-3pillar-4468554364,2026-09-24T14:46:47.618731+00:00
14,Python Developer | Czech Republic,linkedin,Senior Full-stack Engineer (Python/React) - Advertising,Truelogic,Dominican Republic,On-site,Full-time,Python,"React, Senior",English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-full-stack-engineer-python-react-advertising-at-truelogic-4468296063,2026-09-24T14:46:47.619076+00:00
14,Python Developer | Czech Republic,linkedin,Senior Python Data Engineer REQ_23,3Pillar,Dominican Republic,Remote,Contract,"Llm, Python","Senior, Architect, React, Sql, Devops, Aws",English,"Architect, Senior",,Recent,https://do.linkedin.com/jobs/view/senior-python-data-engineer-req-23-at-3pillar-4468563250,2026-09-24T14:46:47.619232+00:00
14,Python Developer | Czech Republic,linkedin,Lead Full-Stack AI Engineer (Python/Typescript) - Advertising,Truelogic,Dominican Republic,On-site,Full-time,"Python, Typescript",Lead,English,Lead,,Recent,https://do.linkedin.com/jobs/view/lead-full-stack-ai-engineer-python-typescript-advertising-at-truelogic-4465925358,2026-09-24T14:46:47.619544+00:00
14,Python Developer | Czech Republic,linkedin,Delivery Consulant/Senior Consultant(Data) - EAD (AI&D) - GDC -GZ/CQ(106729),Deloitte,"アト・マジョール州, Hato Mayor, Dominican Republic",On-site,Full-time,,"Consultant, Senior",English,"Consultant, Senior",,Recent,https://do.linkedin.com/jobs/view/delivery-consulant-senior-consultant-data-ead-ai-d-gdc-gz-cq-106729-at-deloitte-4449494815,2026-09-24T14:46:47.619697+00:00
14,Python Developer | Czech Republic,linkedin,Forward Deployed Engineer - Remote,Kake,Dominican Republic,Remote,Full-time,"Go, Java, Javascript, Llm, Python, Rag, Typescript","Senior, Azure, Gcp, Sql, Aws",English,Senior,,Recent,https://do.linkedin.com/jobs/view/forward-deployed-engineer-remote-at-kake-4467385957,2026-09-24T14:46:47.620037+00:00
14,Python Developer | Poland,linkedin,Senior Python Developer,Luxoft Poland,"Cracow, Małopolskie, Poland",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-python-developer-at-luxoft-poland-4466072951,2026-09-24T14:46:51.133592+00:00
14,Python Developer | Poland,linkedin,Senior Python Developer,Luxoft,"Krakowski, Małopolskie, Poland",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-python-developer-at-luxoft-4466061243,2026-09-24T14:46:51.133756+00:00
14,Python Developer | Poland,linkedin,Senior Python Developer,Luxoft,Cracow Metropolitan Area,On-site,Full-time,Python,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-python-developer-at-luxoft-4466084608,2026-09-24T14:46:51.133945+00:00
14,Python Developer | Poland,linkedin,Senior Python Developer,Luxoft Poland,Cracow Metropolitan Area,On-site,Full-time,Python,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-python-developer-at-luxoft-poland-4466344247,2026-09-24T14:46:51.134105+00:00
14,Python Developer | Poland,linkedin,Senior Software Engineer (Python),Capgemini,"Wrocław, Dolnośląskie, Poland",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-software-engineer-python-at-capgemini-4463810981,2026-09-24T14:46:51.134261+00:00
14,Python Developer | Poland,linkedin,Senior Python Developer,EY,"Katowice, Śląskie, Poland",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-python-developer-at-ey-4462521555,2026-09-24T14:46:51.134579+00:00
14,Python Developer | USA,linkedin,Senior / Lead Python Developer,SRS Consulting Inc,"San Jose, CA",On-site,Full-time,Python,"Senior, Lead",English,"Lead, Senior",,Recent,https://www.linkedin.com/jobs/view/senior-lead-python-developer-at-srs-consulting-inc-4468673021,2026-09-24T14:46:54.675832+00:00
14,Python Developer | USA,linkedin,Senior Software Engineer - Python,Venmo,"San Jose, CA",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://www.linkedin.com/jobs/view/senior-software-engineer-python-at-venmo-4465604021,2026-09-24T14:46:54.676320+00:00
14,Python Developer | USA,linkedin,Senior Software Engineer - Python,Venmo,"Austin, TX",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://www.linkedin.com/jobs/view/senior-software-engineer-python-at-venmo-4465379983,2026-09-24T14:46:54.676762+00:00
14,Python Developer | United Kingdom,linkedin,Senior Python Backend Software Developer,Xelix,"London, England, United Kingdom",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-python-backend-software-developer-at-xelix-4468683827,2026-09-24T14:46:58.345654+00:00
14,Python Developer | United Kingdom,linkedin,Python Software Developer - Backend,Xelix,"London, England, United Kingdom",Hybrid,Contract,"Can, Jenkins, Python","Github, Senior, Team Lead, Postgresql, React, Terraform, Sql, Django, Staff, Docker",English,"Lead, Senior, Staff",,Recent,https://uk.linkedin.com/jobs/view/python-software-developer-backend-at-xelix-4468686792,2026-09-24T14:46:58.345863+00:00
14,Python Developer | United Kingdom,linkedin,Senior Python Developer,King,"London, England, United Kingdom",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-python-developer-at-king-4457345523,2026-09-24T14:46:58.346018+00:00
14,Python Developer | United Kingdom,linkedin,Senior Python Developer,Ascendion,"Bromley, England, United Kingdom",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-python-developer-at-ascendion-4444944198,2026-09-24T14:46:58.346173+00:00
14,Python Developer | United Kingdom,linkedin,"Senior Software Engineer (Backend, Python)",Octopus Energy,"London, England, United Kingdom",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-software-engineer-backend-python-at-octopus-energy-4469188087,2026-09-24T14:46:58.346334+00:00
14,Python Developer | United Kingdom,linkedin,Senior Python Software Engineer,Citadel Securities,"London Area, United Kingdom",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-python-software-engineer-at-citadel-securities-4378544344,2026-09-24T14:46:58.346487+00:00
14,Python Developer | United Kingdom,linkedin,Senior Python Developer - AVP,Citi,"Belfast, Northern Ireland, United Kingdom",Hybrid,Contract,"Can, Ci/Cd, Java, Llm, Python, Rag","Fastapi, Senior, Kubernetes, Lead",English,"Lead, Senior",,Recent,https://uk.linkedin.com/jobs/view/senior-python-developer-avp-at-citi-4463557589,2026-09-24T14:46:58.346642+00:00
14,Python Developer | United Kingdom,linkedin,Senior Python Developer FastAPI Azure,Client Server,"London, England, United Kingdom",On-site,Full-time,Python,"Fastapi, Senior, Azure",English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-python-developer-fastapi-azure-at-client-server-4469171257,2026-09-24T14:46:58.346974+00:00
14,Python Developer | United Kingdom,linkedin,Senior Software Engineer,Recenso Services,"London Area, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-software-engineer-at-recenso-services-4467988113,2026-09-24T14:46:58.347120+00:00
14,Python Test | Switzerland,linkedin,Senior Test Engineer Automated Testing,Randstad Digital,"Zurich, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-test-engineer-automated-testing-at-randstad-digital-4466788637,2026-09-24T14:47:07.240065+00:00
14,Python Test | Switzerland,linkedin,Automated Testing Module Lead,Harmattan AI,"Lausanne, Vaud, Switzerland",On-site,Full-time,,Lead,English,Lead,,Recent,https://ch.linkedin.com/jobs/view/automated-testing-module-lead-at-harmattan-ai-4469178163,2026-09-24T14:47:07.240695+00:00
14,Python Test | Czech Republic,linkedin,QA Automation Engineer Lead - Remote - Latin America,FullStack,"Luperón, Puerto Plata, Dominican Republic",Remote,Contract,"Can, Integration Testing, Javascript, Playwright, Test Automation","Scrum, Agile, Lead",English,Lead,,Recent,https://do.linkedin.com/jobs/view/qa-automation-engineer-lead-remote-latin-america-at-fullstack-4468652886,2026-09-24T14:47:17.591071+00:00
14,Python Test | Poland,linkedin,Senior Automation Test Engineer (Python) IRC305035,GlobalLogic,"Cracow, Małopolskie, Poland",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-automation-test-engineer-python-irc305035-at-globallogic-4469466417,2026-09-24T14:47:21.152395+00:00
14,Python Test | Poland,linkedin,Senior Automation Python Test Engineer IRC304056,GlobalLogic,"Cracow, Małopolskie, Poland",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-automation-python-test-engineer-irc304056-at-globallogic-4467609440,2026-09-24T14:47:21.152611+00:00
14,Python Test | Poland,linkedin,🔎 Senior Automation QA Engineer with Python🔎,Luxoft Poland,"Wrocław, Dolnośląskie, Poland",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/%F0%9F%94%8E-senior-automation-qa-engineer-with-python%F0%9F%94%8E-at-luxoft-poland-4459169468,2026-09-24T14:47:21.152812+00:00
14,Python Test | Poland,linkedin,Senior Automation QA Engineer with Python,Luxoft Poland,"Wrocław, Dolnośląskie, Poland",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-automation-qa-engineer-with-python-at-luxoft-poland-4459168591,2026-09-24T14:47:21.152981+00:00
14,Python Test | Poland,linkedin,Senior AQA with Python,Luxoft,"Wrocław, Dolnośląskie, Poland",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-aqa-with-python-at-luxoft-4459694777,2026-09-24T14:47:21.153140+00:00
14,Python Test | Poland,linkedin,Senior Test Engineer (Python/Pytest),Hitachi Energy,Cracow Metropolitan Area,On-site,Full-time,"Pytest, Python",Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-test-engineer-python-pytest-at-hitachi-energy-4447292443,2026-09-24T14:47:21.153295+00:00
14,Python Test | Poland,linkedin,Senior AQA with Python,Luxoft,"Cracow, Małopolskie, Poland",Hybrid,Contract,"Ci/Cd, Jenkins, Playwright, Pytest, Python, Selenium, Test Automation","Senior, Azure, Regression Testing, Linux, Unix, Sql, Devops, Git, Docker",English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-aqa-with-python-at-luxoft-4459699786,2026-09-24T14:47:21.153597+00:00
14,Python Test | USA,linkedin,"Senior QA Automation Engineer - API Testing, Python & AI",Cognizant,Greater Houston,On-site,Full-time,Python,Senior,English,Senior,,Recent,https://www.linkedin.com/jobs/view/senior-qa-automation-engineer-api-testing-python-ai-at-cognizant-4466821169,2026-09-24T14:47:24.700468+00:00
14,Python Test | USA,linkedin,"Senior Software Engineer (SDET, Python)",Viasat,"Carlsbad, CA",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://www.linkedin.com/jobs/view/senior-software-engineer-sdet-python-at-viasat-4457505725,2026-09-24T14:47:24.700655+00:00
14,Python Test | USA,linkedin,Lead Software Development Engineer in Test (Python),ICE,"Atlanta, GA",On-site,Full-time,"Ci/Cd, Claude, Cursor, Github Copilot, Java, Javascript, Jenkins, Python, Selenium, Test Automation","Github, Cypress, Agile, Jira, Linux, Unix, Sql, Oracle, Lead",English,Lead,,Recent,https://www.linkedin.com/jobs/view/lead-software-development-engineer-in-test-python-at-ice-4389299975,2026-09-24T14:47:24.700840+00:00
14,Python Test | USA,linkedin,QA Automation Lead - Python,Tata Consultancy Services,"Charlotte, NC",On-site,Full-time,Python,Lead,English,Lead,,Recent,https://www.linkedin.com/jobs/view/qa-automation-lead-python-at-tata-consultancy-services-4445755059,2026-09-24T14:47:24.701002+00:00
14,Python Test | USA,linkedin,"Senior Test Automation Engineer, Python",Network Optix,"Burbank, CA",Remote,Internship,"Ci/Cd, Playwright, Python, Test Automation","Senior, Agile, Lead",English,"Lead, Senior",,Recent,https://www.linkedin.com/jobs/view/senior-test-automation-engineer-python-at-network-optix-4471497474,2026-09-24T14:47:24.701331+00:00
14,Python Test | USA,linkedin,"Enterprise - Senior Test Engineer - Linux, Python, GitLab",Erias Ventures,"Columbia, MD",On-site,Full-time,Python,"Gitlab, Linux, Senior",English,Senior,,Recent,https://www.linkedin.com/jobs/view/enterprise-senior-test-engineer-linux-python-gitlab-at-erias-ventures-4467256601,2026-09-24T14:47:24.701485+00:00
14,Python Test | USA,linkedin,"Senior Test Automation Engineer, onsite in Petaluma, California",Ciena,"Petaluma, CA",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://www.linkedin.com/jobs/view/senior-test-automation-engineer-onsite-in-petaluma-california-at-ciena-4437923485,2026-09-24T14:47:24.701637+00:00
14,Python Test | USA,linkedin,Senior QA Automation Engineer - Networking L2/L3,Cisco,"Milpitas, CA",On-site,Full-time,,Senior,English,Senior,,Recent,https://www.linkedin.com/jobs/view/senior-qa-automation-engineer-networking-l2-l3-at-cisco-4458322998,2026-09-24T14:47:24.701965+00:00
14,Python Test | United Kingdom,linkedin,Senior Quality Engineer (Python),2i,"London Area, United Kingdom",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-quality-engineer-python-at-2i-4463272257,2026-09-24T14:47:28.193155+00:00
14,Python Test | United Kingdom,linkedin,"Staff Software Engineer (SDET, Python)",Viasat,"London, England, United Kingdom",On-site,Full-time,Python,Staff,English,Staff,,Recent,https://uk.linkedin.com/jobs/view/staff-software-engineer-sdet-python-at-viasat-4458511345,2026-09-24T14:47:28.193336+00:00
14,Python Test | United Kingdom,linkedin,Senior Software Test Engineer,Humanoid,"London, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-software-test-engineer-at-humanoid-4415009981,2026-09-24T14:47:28.193818+00:00
14,Python Test | United Kingdom,linkedin,Software Engineer III - Python/Test Automation,JPMorganChase,"Glasgow, Scotland, United Kingdom",On-site,Contract,"Chatgpt, Ci/Cd, Java, Langchain, Llm, Playwright, Pytest, Python, Rag, Selenium, Test Automation","Architect, Databricks, Azure, Gcp, Sql, Aws, Agile",English,Architect,,Recent,https://uk.linkedin.com/jobs/view/software-engineer-iii-python-test-automation-at-jpmorganchase-4449694896,2026-09-24T14:47:28.193976+00:00
14,Python Test | United Kingdom,linkedin,Test Automaton Engineer,Leidos,"Farnborough, England, United Kingdom",Hybrid,Contract,"Can, Ci/Cd, Python, Selenium, Test Automation","Manual Testing, Regression Testing, Machine Learning, Performance Testing, Sql, Aws, Safe, Git, Agile, Staff",English,Staff,,Recent,https://uk.linkedin.com/jobs/view/test-automaton-engineer-at-leidos-4454015234,2026-09-24T14:47:28.194128+00:00
14,Python Test | United Kingdom,linkedin,Senior QA Automation Engineer - AI,Anaplan,"London, England, United Kingdom",On-site,Internship,"C, Can, Ci/Cd, Javascript, Llm, Prompt Engineering, Pytest, Python, Selenium, Test Automation","Senior, Architect, Expert, Postman",English,"Architect, Expert, Senior",,Recent,https://uk.linkedin.com/jobs/view/senior-qa-automation-engineer-ai-at-anaplan-4468658003,2026-09-24T14:47:28.194280+00:00
14,Python Test | United Kingdom,linkedin,Senior Quality Assurance Automation Engineer,Vero,United Kingdom,Remote,Full-time,"Ci/Cd, Llm, Playwright, Python, Selenium, Typescript","Senior, Load Testing, Ruby, Cypress, Postgresql, Performance Testing, Sql",English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-quality-assurance-automation-engineer-at-vero-4463389410,2026-09-24T14:47:28.194577+00:00
14,Firmware Engineer | Germany,linkedin,(Senior) Firmwareentwickler (m/w/d) Siemens AG,FERCHAU,"Karlsruhe, Baden-Württemberg, Germany",Remote,Contract,"C, C++, Can, Firmware, I2C, Spi, Uart","Senior, Expert, R, Entry-Level, Lead",German,"Expert, Lead, Senior",,Recent,https://de.linkedin.com/jobs/view/senior-firmwareentwickler-m-w-d-siemens-ag-at-ferchau-4438578585,2026-09-24T14:47:31.682374+00:00
14,Firmware Engineer | Germany,linkedin,Softwareentwickler Embedded Systems (m/w/d),FERCHAU,"Erfurt, Thuringia, Germany",Remote,Contract,"C, C++, Can, Embedded Systems, Firmware","Expert, R, Junior",German,Expert,,Recent,https://de.linkedin.com/jobs/view/softwareentwickler-embedded-systems-m-w-d-at-ferchau-4438583329,2026-09-24T14:47:31.682733+00:00
14,Firmware Engineer | Germany,linkedin,"Senior Embedded Developer - Munich Area - Up to €90,000 (d / m / w)",Optimus Search,Greater Munich Metropolitan Area,On-site,Full-time,"C, Embedded Linux, Microcontroller, Python, Rtos, Rust","Senior, Linux, Soc, Fpga",English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-embedded-developer-munich-area-up-to-%E2%82%AC90-000-d-m-w-at-optimus-search-4416816817,2026-09-24T14:47:31.682915+00:00
14,Firmware Engineer | Germany,linkedin,Senior Embedded (ARM) Engineer - Quantum Computing (m/w/d),eleQtron,"Hamburg, Hamburg, Germany",On-site,Full-time,Arm,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-embedded-arm-engineer-quantum-computing-m-w-d-at-eleqtron-4468611075,2026-09-24T14:47:31.683528+00:00
14,Firmware Engineer | Austria,linkedin,Senior C Embedded Entwickler (w/m/x),BEKO Solutions GmbH,"Vienna, Vienna, Austria",Remote,Full-time,"C, Can, Embedded Linux, Microcontroller, Rtos, Spi, Uart","Senior, R, Gitlab, Linux, Git, Soc",German,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-c-embedded-entwickler-w-m-x-at-beko-solutions-gmbh-4464198636,2026-09-24T14:47:34.619519+00:00
14,Firmware Engineer | Austria,linkedin,(Senior) Embedded Software Developer - Linux/YOCTO (m/w/d),Arivo,"Graz, Styria, Austria",On-site,Full-time,,"Linux, Senior",English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-embedded-software-developer-linux-yocto-m-w-d-at-arivo-4461639598,2026-09-24T14:47:34.620033+00:00
14,Firmware Engineer | Austria,linkedin,Senior / Professional  Embedded Firmware Developer,SBG Associates,"Vienna, Austria",On-site,Full-time,Firmware,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-professional-embedded-firmware-developer-at-sbg-associates-4465956915,2026-09-24T14:47:34.620184+00:00
14,Firmware Engineer | Switzerland,linkedin,Senior Embedded Firmware Engineer (FPGA/ARM),Experis Switzerland,"Zurich, Zurich, Switzerland",On-site,Full-time,"Arm, Firmware","Fpga, Senior",English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-embedded-firmware-engineer-fpga-arm-at-experis-switzerland-4459476487,2026-09-24T14:47:37.590189+00:00
14,Firmware Engineer | Switzerland,linkedin,Member of Technical Staff - Embedded Systems Engineer,Domera Labs,"Zurich, Zurich, Switzerland",On-site,Full-time,Embedded Systems,Staff,English,Staff,,Recent,https://ch.linkedin.com/jobs/view/member-of-technical-staff-embedded-systems-engineer-at-domera-labs-4469232552,2026-09-24T14:47:37.591951+00:00
14,Firmware Engineer | Slovakia,linkedin,Senior C/C++ Software Engineer,Frequentis,"Bratislava, Bratislava, Slovakia",On-site,Full-time,"C, C++",Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-c-c%2B%2B-software-engineer-at-frequentis-4439990845,2026-09-24T14:47:44.078481+00:00
14,Firmware Engineer | Slovakia,linkedin,"Chcete pomáhať riadiť letovú prevádzku? Senior C/C++ software engineer - flexibilný pracovný model s možnosťou práce z domu, priestor na rast",Frequentis,"Bratislava, Slovakia",On-site,Full-time,"C, C++",Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/chcete-pom%C3%A1ha%C5%A5-riadi%C5%A5-letov%C3%BA-prev%C3%A1dzku%3F-senior-c-c%2B%2B-software-engineer-flexibiln%C3%BD-pracovn%C3%BD-model-s-mo%C5%BEnos%C5%A5ou-pr%C3%A1ce-z-domu-priestor-na-rast-at-frequentis-4456500093,2026-09-24T14:47:44.079315+00:00
