relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
29,Tester | Remote,linkedin,Software Engineer in Test,Microsoft,India,Remote,Full-time,,,English,,,Recent,https://in.linkedin.com/jobs/view/software-engineer-in-test-at-microsoft-4366638657,2026-04-16T11:09:03.924665+00:00
0,Firmware Engineer | Germany,linkedin,Software Engineer I,CNN,"Atlanta, GA",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/software-engineer-i-at-cnn-4402041676,2026-04-16T11:11:43.016899+00:00
0,Firmware Engineer | Germany,linkedin,Software Engineer I,CNN,"Atlanta, GA",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/software-engineer-i-at-cnn-4402040794,2026-04-16T11:11:43.017227+00:00
0,Firmware Engineer | Germany,linkedin,Embedded Software Engineer,Wing,"Palo Alto, CA",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/embedded-software-engineer-at-wing-4344488460,2026-04-16T11:11:43.017367+00:00
0,Firmware Engineer | Germany,linkedin,New Grad Software Engineer,Confido,"New York, NY",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/new-grad-software-engineer-at-confido-4401827377,2026-04-16T11:11:43.017500+00:00
0,Firmware Engineer | Germany,linkedin,Software Engineer - Java,Honey,"San Jose, CA",On-site,Full-time,Java,,English,,,Recent,https://www.linkedin.com/jobs/view/software-engineer-java-at-honey-4401781173,2026-04-16T11:11:43.017628+00:00
0,Firmware Engineer | Germany,linkedin,"Embedded Software Engineer (Full time, Permanent)",SMD,"Wallsend, England, United Kingdom",On-site,Full-time,,,English,,,Recent,https://uk.linkedin.com/jobs/view/embedded-software-engineer-full-time-permanent-at-smd-4400765552,2026-04-16T11:11:43.017837+00:00
0,Firmware Engineer | Germany,linkedin,Embedded Software Engineer,Bose Corporation,"Binghamton, NY",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/embedded-software-engineer-at-bose-corporation-4378118478,2026-04-16T11:11:43.017981+00:00
0,Firmware Engineer | Germany,linkedin,Software Engineer ($165k-$250k + Equity) at Strala,Jack & Jill,San Francisco Bay Area,On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/software-engineer-%24165k-%24250k-%2B-equity-at-strala-at-jack-jill-4401737815,2026-04-16T11:11:43.018108+00:00
0,Firmware Engineer | Germany,linkedin,Software Engineer 1,Intuit,"Mountain View, CA",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/software-engineer-1-at-intuit-4401741037,2026-04-16T11:11:43.018236+00:00
0,Firmware Engineer | Remote,linkedin,Software Engineer (L4) - Personalization,Netflix,United States,On-site,Full-time,"Can, Java","Machine Learning, Spark, Scala",English,,,Recent,https://www.linkedin.com/jobs/view/software-engineer-l4-personalization-at-netflix-4356062884,2026-04-16T11:11:51.091849+00:00
0,Firmware Engineer | Remote,linkedin,Software Engineer - Open Connect Control Plane,Netflix,United States,Remote,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/software-engineer-open-connect-control-plane-at-netflix-4350188369,2026-04-16T11:11:51.091986+00:00
0,Firmware Engineer | Remote,linkedin,Software Engineer ($140K – $210K + Equity) at Ambrook,Jack & Jill,"San Francisco, CA",Remote,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/software-engineer-%24140k-%E2%80%93-%24210k-%2B-equity-at-ambrook-at-jack-jill-4401569726,2026-04-16T11:11:51.092115+00:00
0,Firmware Engineer | Remote,linkedin,Software Engineer (L5) - Experimentation Platform,Netflix,United States,Remote,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/software-engineer-l5-experimentation-platform-at-netflix-4397581182,2026-04-16T11:11:51.092256+00:00
0,Firmware Engineer | Remote,linkedin,Junior Software Engineer (Turkey),Sezzle,Türkiye,Remote,Full-time,,Junior,English,,,Recent,https://tr.linkedin.com/jobs/view/junior-software-engineer-turkey-at-sezzle-4346705101,2026-04-16T11:11:51.092386+00:00
0,Firmware Engineer | Remote,linkedin,Junior Software Engineer (Brazil),Sezzle,Brazil,Remote,Full-time,,Junior,English,,,Recent,https://br.linkedin.com/jobs/view/junior-software-engineer-brazil-at-sezzle-4339192557,2026-04-16T11:11:51.092514+00:00
0,Firmware Engineer | Remote,linkedin,Software Engineer & Computer Science - Recent Grad/Full Time,Honeywell,United States,Remote,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/software-engineer-computer-science-recent-grad-full-time-at-honeywell-4292999956,2026-04-16T11:11:51.092638+00:00
0,Firmware Engineer | Remote,linkedin,Software Engineer/Developer,hackajob,United Kingdom,Remote,Full-time,,,English,,,Recent,https://uk.linkedin.com/jobs/view/software-engineer-developer-at-hackajob-4387736655,2026-04-16T11:11:51.092789+00:00
